,county,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate
42,MONTEZUMA,4479.0,3102.0,1360.0,1500.0,407.0,310.0,96.0,108.0,318.0,211.0,106.0,116.0,2574.0,1802.0,761.0,864.0,9.0,9.0,0.0,0.0,1959.0,1413.0,528.0,588.0,11.0,3.0,8.0,8.0,236.0,202.0,34.0,35.0,2159.0,1481.0,669.0,731.0,2320.0,1621.0,691.0,769.0,20.0,14.0,6.0,6.0,24.0,18.0,6.0,7.0,715.0,502.0,209.0,228.0,2677.0,1894.0,771.0,832.0,30.0,13.0,13.0,44.0,16.0,17.0,166.0,84.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,20.0,19.0,19.0,69.26,30.36,33.49,76.17,23.59,26.54,43.33,43.33,66.35,33.33,36.48,36.36,38.64,70.01,29.56,33.57,50.6,54.22,100.0,0.0,0.0,0.0,0.0,72.13,26.95,30.02,0.0,0.0,27.27,72.73,72.73,66.67,66.67,85.59,14.41,14.83,95.0,95.0,68.6,30.99,33.86,69.87,29.78,33.15,3.18,1.44,1.57,70.75,28.8,31.08,75.0,25.0,29.17,70.21,29.23,31.89,70.0,30.0,30.0
43,MONTROSE,7098.0,5483.0,1581.0,1796.0,610.0,483.0,124.0,141.0,1090.0,882.0,203.0,241.0,3945.0,3079.0,843.0,1017.0,92.0,54.0,34.0,43.0,3127.0,2394.0,718.0,827.0,255.0,104.0,145.0,183.0,474.0,434.0,40.0,41.0,3452.0,2696.0,739.0,838.0,3646.0,2787.0,842.0,958.0,32.0,24.0,8.0,8.0,36.0,26.0,10.0,10.0,2448.0,1931.0,505.0,582.0,4344.0,3336.0,987.0,1114.0,32.0,14.0,14.0,54.0,33.0,33.0,271.0,190.0,193.0,9.0,1.0,2.0,6.0,1.0,1.0,19.0,11.0,11.0,50.0,48.0,50.0,77.25,22.27,25.3,79.18,20.33,23.11,43.75,43.75,80.92,18.62,22.11,61.11,61.11,78.05,21.37,25.78,70.11,71.22,58.7,36.96,46.74,11.11,22.22,76.56,22.96,26.45,16.67,16.67,40.78,56.86,71.76,57.89,57.89,91.56,8.44,8.65,96.0,100.0,78.1,21.41,24.28,76.44,23.09,26.28,2.26,0.62,0.7,76.8,22.72,25.64,72.22,27.78,27.78,78.88,20.63,23.77,75.0,25.0,25.0
44,MORGAN,5792.0,4451.0,1337.0,1450.0,522.0,393.0,128.0,143.0,1571.0,1262.0,308.0,339.0,3479.0,2717.0,759.0,856.0,242.0,125.0,116.0,126.0,1985.0,1521.0,462.0,501.0,179.0,50.0,129.0,147.0,362.0,336.0,26.0,27.0,2845.0,2194.0,648.0,708.0,2947.0,2257.0,689.0,742.0,23.0,16.0,7.0,7.0,159.0,80.0,79.0,82.0,3000.0,2343.0,656.0,725.0,2491.0,1928.0,560.0,600.0,28.0,15.0,17.0,89.0,43.0,49.0,254.0,168.0,191.0,29.0,12.0,13.0,56.0,42.0,44.0,25.0,9.0,11.0,30.0,30.0,30.0,76.85,23.08,25.03,75.29,24.52,27.39,53.57,60.71,80.33,19.61,21.58,48.31,55.06,78.1,21.82,24.6,66.14,75.2,51.65,47.93,52.07,41.38,44.83,76.62,23.27,25.24,75.0,78.57,27.93,72.07,82.12,36.0,44.0,92.82,7.18,7.46,100.0,100.0,77.12,22.78,24.89,76.59,23.38,25.18,2.71,0.8,0.87,77.4,22.48,24.09,50.31,49.69,51.57,78.1,21.87,24.17,69.57,30.43,30.43
45,OTERO,3764.0,2714.0,1050.0,1110.0,364.0,258.0,106.0,111.0,206.0,127.0,79.0,81.0,2533.0,1820.0,713.0,761.0,83.0,37.0,46.0,48.0,1780.0,1291.0,489.0,517.0,6.0,1.0,5.0,5.0,75.0,70.0,5.0,6.0,1824.0,1321.0,503.0,528.0,1940.0,1393.0,547.0,582.0,40.0,31.0,9.0,9.0,27.0,15.0,12.0,12.0,1997.0,1439.0,558.0,596.0,1633.0,1189.0,444.0,464.0,24.0,15.0,15.0,8.0,6.0,7.0,167.0,138.0,148.0,1.0,1.0,1.0,27.0,14.0,18.0,3.0,1.0,2.0,12.0,12.0,12.0,72.1,27.9,29.49,70.88,29.12,30.49,62.5,62.5,61.65,38.35,39.32,75.0,87.5,71.85,28.15,30.04,82.63,88.62,44.58,55.42,57.83,100.0,100.0,72.53,27.47,29.04,51.85,66.67,16.67,83.33,83.33,33.33,66.67,93.33,6.67,8.0,100.0,100.0,72.42,27.58,28.95,71.8,28.2,30.0,3.97,1.51,1.59,72.81,27.19,28.41,55.56,44.44,44.44,72.06,27.94,29.84,77.5,22.5,22.5
46,OURAY,605.0,419.0,186.0,192.0,43.0,29.0,14.0,15.0,27.0,9.0,18.0,18.0,209.0,140.0,69.0,71.0,3.0,2.0,1.0,1.0,44.0,24.0,20.0,21.0,1.0,0.0,1.0,1.0,58.0,53.0,5.0,5.0,308.0,204.0,104.0,107.0,297.0,215.0,82.0,85.0,8.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,68.0,33.0,35.0,38.0,506.0,361.0,145.0,148.0,8.0,5.0,6.0,3.0,1.0,1.0,17.0,12.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,69.26,30.74,31.74,67.44,32.56,34.88,62.5,75.0,33.33,66.67,66.67,33.33,33.33,66.99,33.01,33.97,70.59,76.47,66.67,33.33,33.33,0.0,0.0,54.55,45.45,47.73,0.0,0.0,0.0,100.0,100.0,0.0,0.0,91.38,8.62,8.62,100.0,100.0,66.23,33.77,34.74,72.39,27.61,28.62,21.5,10.96,11.28,71.34,28.66,29.25,100.0,0.0,0.0,48.53,51.47,55.88,75.0,25.0,25.0
47,PARK,1871.0,1260.0,610.0,630.0,199.0,144.0,55.0,59.0,5.0,2.0,3.0,3.0,782.0,463.0,319.0,328.0,0.0,0.0,0.0,0.0,222.0,161.0,61.0,63.0,5.0,0.0,5.0,5.0,160.0,140.0,20.0,21.0,892.0,593.0,299.0,310.0,979.0,667.0,311.0,320.0,17.0,11.0,6.0,6.0,18.0,7.0,11.0,12.0,179.0,115.0,64.0,68.0,1585.0,1083.0,501.0,514.0,15.0,9.0,9.0,1.0,0.0,0.0,43.0,27.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,9.0,9.0,67.34,32.6,33.67,72.36,27.64,29.65,60.0,60.0,40.0,60.0,60.0,0.0,0.0,59.21,40.79,41.94,62.79,67.44,0.0,0.0,0.0,0.0,0.0,72.52,27.48,28.38,0.0,0.0,0.0,100.0,100.0,0.0,0.0,87.5,12.5,13.12,81.82,81.82,66.48,33.52,34.75,68.13,31.77,32.69,7.45,3.76,3.9,68.33,31.61,32.43,38.89,61.11,66.67,64.25,35.75,37.99,64.71,35.29,35.29
48,PHILLIPS,960.0,763.0,197.0,207.0,99.0,77.0,22.0,24.0,137.0,110.0,27.0,30.0,455.0,340.0,115.0,122.0,11.0,5.0,6.0,6.0,47.0,38.0,9.0,9.0,0.0,0.0,0.0,0.0,53.0,52.0,1.0,1.0,460.0,359.0,101.0,107.0,500.0,404.0,96.0,100.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,287.0,224.0,63.0,67.0,655.0,525.0,130.0,136.0,6.0,4.0,5.0,6.0,3.0,3.0,31.0,24.0,25.0,2.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,6.0,6.0,6.0,79.48,20.52,21.56,77.78,22.22,24.24,66.67,83.33,80.29,19.71,21.9,50.0,50.0,74.73,25.27,26.81,77.42,80.65,45.45,54.55,54.55,50.0,50.0,80.85,19.15,19.15,100.0,100.0,0.0,0.0,0.0,0.0,0.0,98.11,1.89,1.89,100.0,100.0,78.04,21.96,23.26,80.8,19.2,20.0,16.97,4.77,5.06,80.15,19.85,20.76,25.0,75.0,75.0,78.05,21.95,23.34,66.67,33.33,33.33
49,PITKIN,1819.0,1529.0,290.0,312.0,120.0,109.0,11.0,12.0,202.0,157.0,45.0,49.0,117.0,92.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,91.0,7.0,7.0,876.0,742.0,134.0,147.0,943.0,787.0,156.0,165.0,34.0,27.0,7.0,7.0,13.0,12.0,1.0,1.0,203.0,163.0,40.0,42.0,1554.0,1321.0,233.0,253.0,8.0,6.0,8.0,10.0,6.0,6.0,16.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,84.06,15.94,17.15,90.83,9.17,10.0,75.0,100.0,77.72,22.28,24.26,60.0,60.0,78.63,21.37,22.22,81.25,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.86,7.14,7.14,100.0,100.0,84.7,15.3,16.78,83.46,16.54,17.5,9.67,1.75,1.92,85.01,14.99,16.28,92.31,7.69,7.69,80.3,19.7,20.69,79.41,20.59,20.59
50,PROWERS,2600.0,1967.0,633.0,664.0,208.0,155.0,53.0,56.0,216.0,170.0,46.0,50.0,1769.0,1284.0,485.0,513.0,89.0,62.0,27.0,28.0,1216.0,962.0,254.0,268.0,27.0,12.0,15.0,15.0,180.0,159.0,21.0,22.0,1218.0,911.0,307.0,320.0,1382.0,1056.0,326.0,344.0,8.0,6.0,2.0,2.0,13.0,11.0,2.0,2.0,1339.0,1031.0,308.0,322.0,1180.0,876.0,304.0,321.0,10.0,9.0,9.0,9.0,7.0,7.0,115.0,76.0,80.0,7.0,4.0,4.0,69.0,39.0,41.0,1.0,1.0,1.0,18.0,18.0,18.0,75.65,24.35,25.54,74.52,25.48,26.92,90.0,90.0,78.7,21.3,23.15,77.78,77.78,72.58,27.42,29.0,66.09,69.57,69.66,30.34,31.46,57.14,57.14,79.11,20.89,22.04,56.52,59.42,44.44,55.56,55.56,100.0,100.0,88.33,11.67,12.22,100.0,100.0,74.79,25.21,26.27,76.41,23.59,24.89,6.14,2.07,2.16,74.24,25.76,27.2,84.62,15.38,15.38,77.0,23.0,24.05,75.0,25.0,25.0
51,PUEBLO,29136.0,22215.0,6853.0,7702.0,3179.0,2533.0,649.0,759.0,1681.0,1291.0,382.0,437.0,16200.0,13084.0,3004.0,3619.0,91.0,60.0,31.0,33.0,8868.0,6774.0,2064.0,2400.0,1453.0,1103.0,325.0,403.0,1925.0,1711.0,209.0,227.0,14170.0,10794.0,3341.0,3734.0,14966.0,11421.0,3512.0,3968.0,193.0,139.0,54.0,56.0,601.0,396.0,204.0,226.0,15853.0,12409.0,3407.0,3929.0,11869.0,8852.0,2992.0,3276.0,171.0,63.0,67.0,83.0,47.0,50.0,1163.0,708.0,776.0,8.0,6.0,6.0,75.0,9.0,22.0,128.0,64.0,72.0,223.0,203.0,210.0,76.25,23.52,26.43,79.68,20.42,23.88,36.84,39.18,76.8,22.72,26.0,56.63,60.24,80.77,18.54,22.34,60.88,66.72,65.93,34.07,36.26,75.0,75.0,76.39,23.27,27.06,12.0,29.33,75.91,22.37,27.74,50.0,56.25,88.88,10.86,11.79,91.03,94.17,76.18,23.58,26.35,76.31,23.47,26.51,0.54,0.17,0.19,74.58,25.21,27.6,65.89,33.94,37.6,78.28,21.49,24.78,72.02,27.98,29.02
52,RIO BLANCO,1266.0,935.0,331.0,342.0,117.0,95.0,22.0,22.0,73.0,57.0,16.0,16.0,373.0,248.0,125.0,127.0,1.0,1.0,0.0,0.0,114.0,83.0,31.0,31.0,1.0,1.0,0.0,0.0,42.0,39.0,3.0,3.0,626.0,451.0,175.0,180.0,640.0,484.0,156.0,162.0,4.0,3.0,1.0,1.0,7.0,5.0,2.0,2.0,171.0,124.0,47.0,48.0,1061.0,788.0,273.0,283.0,5.0,5.0,5.0,2.0,2.0,2.0,15.0,13.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,73.85,26.15,27.01,81.2,18.8,18.8,100.0,100.0,78.08,21.92,21.92,100.0,100.0,66.49,33.51,34.05,86.67,86.67,100.0,0.0,0.0,0.0,0.0,72.81,27.19,27.19,0.0,0.0,100.0,0.0,0.0,0.0,0.0,92.86,7.14,7.14,100.0,100.0,72.04,27.96,28.75,75.62,24.38,25.31,11.51,4.47,4.59,74.27,25.73,26.67,71.43,28.57,28.57,72.51,27.49,28.07,75.0,25.0,25.0
53,RIO GRANDE,2463.0,1794.0,665.0,696.0,152.0,97.0,55.0,56.0,274.0,207.0,67.0,73.0,1198.0,887.0,309.0,332.0,74.0,45.0,29.0,32.0,1240.0,990.0,251.0,260.0,26.0,10.0,16.0,16.0,30.0,27.0,3.0,3.0,1211.0,874.0,335.0,352.0,1252.0,920.0,330.0,344.0,12.0,4.0,8.0,9.0,13.0,6.0,7.0,7.0,1400.0,1051.0,346.0,370.0,993.0,699.0,293.0,298.0,11.0,7.0,7.0,9.0,6.0,6.0,115.0,79.0,92.0,7.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,8.0,7.0,8.0,72.84,27.0,28.26,63.82,36.18,36.84,63.64,63.64,75.55,24.45,26.64,66.67,66.67,74.04,25.79,27.71,68.7,80.0,60.81,39.19,43.24,42.86,57.14,79.84,20.24,20.97,100.0,100.0,38.46,61.54,61.54,33.33,66.67,90.0,10.0,10.0,87.5,100.0,72.17,27.66,29.07,73.48,26.36,27.48,5.96,2.28,2.4,70.39,29.51,30.01,46.15,53.85,53.85,75.07,24.71,26.43,33.33,66.67,75.0
54,ROUTT,3346.0,2613.0,734.0,771.0,358.0,288.0,70.0,70.0,235.0,160.0,75.0,80.0,759.0,539.0,220.0,227.0,5.0,5.0,0.0,0.0,245.0,215.0,30.0,34.0,1.0,1.0,0.0,0.0,220.0,212.0,8.0,8.0,1601.0,1266.0,335.0,353.0,1745.0,1347.0,399.0,418.0,50.0,34.0,16.0,16.0,14.0,9.0,5.0,5.0,323.0,236.0,87.0,90.0,2900.0,2283.0,618.0,651.0,33.0,21.0,21.0,9.0,5.0,5.0,44.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,30.0,78.09,21.94,23.04,80.45,19.55,19.55,63.64,63.64,68.09,31.91,34.04,55.56,55.56,71.01,28.99,29.91,77.27,77.27,100.0,0.0,0.0,0.0,0.0,87.76,12.24,13.88,0.0,0.0,100.0,0.0,0.0,0.0,0.0,96.36,3.64,3.64,96.67,100.0,79.08,20.92,22.05,77.19,22.87,23.95,4.94,1.31,1.38,78.72,21.31,22.45,64.29,35.71,35.71,73.07,26.93,27.86,68.0,32.0,32.0
55,SAGUACHE,1027.0,697.0,330.0,356.0,88.0,60.0,28.0,29.0,253.0,170.0,83.0,93.0,796.0,562.0,234.0,255.0,118.0,57.0,61.0,70.0,674.0,457.0,217.0,239.0,123.0,60.0,63.0,70.0,5.0,5.0,0.0,0.0,513.0,354.0,159.0,172.0,514.0,343.0,171.0,184.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,642.0,469.0,173.0,191.0,347.0,206.0,141.0,148.0,9.0,6.0,6.0,10.0,6.0,6.0,58.0,46.0,46.0,6.0,3.0,3.0,22.0,18.0,18.0,8.0,6.0,6.0,2.0,2.0,2.0,67.87,32.13,34.66,68.18,31.82,32.95,66.67,66.67,67.19,32.81,36.76,60.0,60.0,70.6,29.4,32.04,79.31,79.31,48.31,51.69,59.32,50.0,50.0,67.8,32.2,35.46,81.82,81.82,48.78,51.22,56.91,75.0,75.0,100.0,0.0,0.0,100.0,100.0,69.01,30.99,33.53,66.73,33.27,35.8,13.45,6.04,6.54,59.37,40.63,42.65,50.0,50.0,50.0,73.05,26.95,29.75,50.0,50.0,100.0
56,SAN JUAN,84.0,45.0,39.0,40.0,7.0,4.0,3.0,3.0,17.0,9.0,8.0,9.0,51.0,30.0,21.0,22.0,0.0,0.0,0.0,0.0,28.0,19.0,9.0,10.0,1.0,0.0,1.0,1.0,13.0,9.0,4.0,4.0,32.0,15.0,17.0,18.0,52.0,30.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,14.0,15.0,59.0,34.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.57,46.43,47.62,57.14,42.86,42.86,0.0,0.0,52.94,47.06,52.94,100.0,100.0,58.82,41.18,43.14,100.0,100.0,0.0,0.0,0.0,0.0,0.0,67.86,32.14,35.71,100.0,100.0,0.0,100.0,100.0,100.0,100.0,69.23,30.77,30.77,0.0,0.0,46.88,53.12,56.25,57.69,42.31,42.31,146.5,166.0,175.78,57.63,42.37,42.37,0.0,0.0,0.0,44.0,56.0,60.0,0.0,0.0,0.0
57,SAN MIGUEL,1065.0,855.0,210.0,217.0,73.0,59.0,14.0,15.0,128.0,98.0,30.0,30.0,312.0,256.0,56.0,60.0,1.0,1.0,0.0,0.0,101.0,79.0,22.0,22.0,1.0,0.0,1.0,1.0,61.0,57.0,4.0,4.0,550.0,436.0,114.0,117.0,515.0,419.0,96.0,100.0,14.0,9.0,5.0,5.0,3.0,3.0,0.0,0.0,162.0,113.0,49.0,49.0,874.0,720.0,154.0,161.0,5.0,2.0,4.0,5.0,3.0,3.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,80.28,19.72,20.38,80.82,19.18,20.55,40.0,80.0,76.56,23.44,23.44,60.0,60.0,82.05,17.95,19.23,80.0,80.0,100.0,0.0,0.0,0.0,0.0,78.22,21.78,21.78,0.0,0.0,0.0,100.0,100.0,0.0,0.0,93.44,6.56,6.56,100.0,100.0,79.27,20.73,21.27,81.36,18.64,19.42,14.41,3.77,3.87,82.38,17.62,18.42,100.0,0.0,0.0,69.75,30.25,30.25,64.29,35.71,35.71
58,SEDGWICK,1655.0,467.0,1184.0,1203.0,132.0,70.0,62.0,64.0,6.0,6.0,0.0,0.0,313.0,190.0,122.0,124.0,0.0,0.0,0.0,0.0,39.0,33.0,5.0,6.0,0.0,0.0,0.0,0.0,23.0,17.0,6.0,6.0,991.0,246.0,741.0,754.0,664.0,221.0,443.0,449.0,14.0,0.0,14.0,14.0,60.0,7.0,53.0,53.0,330.0,98.0,232.0,233.0,1202.0,350.0,848.0,865.0,44.0,3.0,6.0,14.0,1.0,4.0,222.0,36.0,65.0,2.0,0.0,0.0,39.0,1.0,6.0,18.0,3.0,4.0,16.0,8.0,9.0,28.22,71.54,72.69,53.03,46.97,48.48,6.82,13.64,100.0,0.0,0.0,7.14,28.57,60.7,38.98,39.62,16.22,29.28,0.0,0.0,0.0,0.0,0.0,84.62,12.82,15.38,2.56,15.38,0.0,0.0,0.0,16.67,22.22,73.91,26.09,26.09,50.0,56.25,24.82,74.77,76.08,33.28,66.72,67.62,2.5,7.54,7.68,29.12,70.55,71.96,11.67,88.33,88.33,29.7,70.3,70.61,0.0,100.0,100.0
59,STATE TOTAL,939283.0,705064.0,231706.0,253577.0,84121.0,65593.0,18348.0,20784.0,135712.0,101683.0,33730.0,37912.0,369904.0,273934.0,94138.0,107242.0,2732.0,1725.0,988.0,1108.0,223008.0,156814.0,64601.0,73472.0,21337.0,11326.0,9665.0,11558.0,73344.0,66620.0,6641.0,7366.0,458512.0,344767.0,112568.0,122761.0,480771.0,360297.0,119138.0,130816.0,28964.0,22363.0,6568.0,7074.0,48049.0,31117.0,16622.0,18690.0,301035.0,219543.0,80495.0,90374.0,521342.0,403611.0,116715.0,124994.0,5775.0,3099.0,3222.0,6171.0,3289.0,3364.0,25718.0,15791.0,16726.0,384.0,214.0,223.0,7398.0,3853.0,4129.0,2394.0,1175.0,1262.0,6604.0,6048.0,6156.0,75.06,24.67,27.0,77.97,21.81,24.71,53.66,55.79,74.93,24.85,27.94,53.3,54.51,74.06,25.45,28.99,61.4,65.04,63.14,36.16,40.56,55.73,58.07,70.32,28.97,32.95,52.08,55.81,53.08,45.3,54.17,49.08,52.72,90.83,9.05,10.04,91.58,93.22,75.19,24.55,26.77,74.94,24.78,27.21,0.02,0.01,0.01,77.42,22.39,23.98,64.76,34.59,38.9,72.93,26.74,30.02,77.21,22.68,24.42
60,SUMMIT,3361.0,2614.0,746.0,782.0,323.0,273.0,50.0,54.0,844.0,692.0,152.0,166.0,1214.0,946.0,267.0,290.0,0.0,0.0,0.0,0.0,149.0,140.0,9.0,12.0,12.0,5.0,7.0,7.0,245.0,212.0,33.0,34.0,1618.0,1269.0,349.0,368.0,1743.0,1345.0,397.0,414.0,39.0,26.0,13.0,14.0,17.0,9.0,8.0,9.0,964.0,789.0,174.0,189.0,2240.0,1714.0,526.0,544.0,27.0,17.0,17.0,45.0,27.0,28.0,74.0,50.0,53.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,33.0,33.0,33.0,77.77,22.2,23.27,84.52,15.48,16.72,62.96,62.96,81.99,18.01,19.67,60.0,62.22,77.92,21.99,23.89,67.57,71.62,0.0,0.0,0.0,100.0,100.0,93.96,6.04,8.05,0.0,0.0,41.67,58.33,58.33,0.0,0.0,86.53,13.47,13.88,100.0,100.0,78.43,21.57,22.74,77.17,22.78,23.75,4.85,1.33,1.41,76.52,23.48,24.29,52.94,47.06,52.94,81.85,18.05,19.61,66.67,33.33,35.9
61,TELLER,3571.0,2460.0,1110.0,1170.0,287.0,188.0,99.0,104.0,39.0,25.0,14.0,14.0,511.0,187.0,324.0,344.0,0.0,0.0,0.0,0.0,379.0,247.0,132.0,147.0,34.0,18.0,16.0,18.0,82.0,67.0,15.0,15.0,1647.0,1142.0,505.0,539.0,1924.0,1318.0,605.0,631.0,24.0,16.0,8.0,9.0,18.0,12.0,6.0,6.0,284.0,188.0,96.0,100.0,3088.0,2145.0,942.0,995.0,19.0,15.0,16.0,3.0,2.0,2.0,95.0,71.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,10.0,12.0,11.0,11.0,68.89,31.08,32.76,65.51,34.49,36.24,78.95,84.21,64.1,35.9,35.9,66.67,66.67,36.59,63.41,67.32,74.74,82.11,0.0,0.0,0.0,0.0,0.0,65.17,34.83,38.79,0.0,0.0,52.94,47.06,52.94,64.29,71.43,81.71,18.29,18.29,91.67,91.67,69.34,30.66,32.73,68.5,31.44,32.8,4.21,1.86,1.99,69.46,30.51,32.22,66.67,33.33,33.33,66.2,33.8,35.21,66.67,33.33,37.5
62,WASHINGTON,943.0,723.0,215.0,224.0,106.0,78.0,26.0,28.0,19.0,13.0,6.0,6.0,420.0,288.0,127.0,135.0,17.0,5.0,12.0,12.0,194.0,134.0,58.0,61.0,4.0,0.0,4.0,4.0,50.0,50.0,0.0,0.0,477.0,349.0,125.0,132.0,466.0,374.0,90.0,92.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,120.0,78.0,42.0,42.0,804.0,628.0,171.0,180.0,7.0,4.0,4.0,2.0,2.0,2.0,32.0,30.0,30.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0,8.0,8.0,8.0,76.67,22.8,23.75,73.58,24.53,26.42,57.14,57.14,68.42,31.58,31.58,100.0,100.0,68.57,30.24,32.14,93.75,93.75,29.41,70.59,70.59,100.0,100.0,69.07,29.9,31.44,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,73.17,26.21,27.67,80.26,19.31,19.74,15.34,5.49,5.8,78.11,21.27,22.39,100.0,0.0,0.0,65.0,35.0,35.0,50.0,50.0,50.0
63,WELD,42327.0,32343.0,9880.0,10760.0,3548.0,2715.0,838.0,915.0,8107.0,6539.0,1546.0,1755.0,20210.0,16119.0,3995.0,4620.0,678.0,424.0,242.0,286.0,9011.0,6796.0,2150.0,2446.0,726.0,305.0,412.0,490.0,2206.0,1981.0,220.0,235.0,20612.0,15799.0,4748.0,5184.0,21715.0,16544.0,5132.0,5576.0,553.0,352.0,200.0,209.0,541.0,335.0,203.0,220.0,19198.0,14924.0,4212.0,4744.0,21171.0,16115.0,5022.0,5323.0,240.0,157.0,163.0,324.0,246.0,249.0,1270.0,944.0,994.0,73.0,55.0,57.0,99.0,57.0,58.0,105.0,67.0,71.0,232.0,225.0,229.0,76.41,23.34,25.42,76.52,23.62,25.79,65.42,67.92,80.66,19.07,21.65,75.93,76.85,79.76,19.77,22.86,74.33,78.27,62.54,35.69,42.18,75.34,78.08,75.42,23.86,27.14,57.58,58.59,42.01,56.75,67.49,63.81,67.62,89.8,9.97,10.65,96.98,98.71,76.65,23.04,25.15,76.19,23.63,25.68,0.37,0.11,0.12,76.12,23.72,25.14,61.92,37.52,40.67,77.74,21.94,24.71,63.65,36.17,37.79
64,YUMA,1933.0,1458.0,475.0,522.0,197.0,142.0,55.0,59.0,501.0,381.0,120.0,150.0,1104.0,779.0,325.0,361.0,94.0,59.0,35.0,42.0,672.0,504.0,168.0,186.0,66.0,13.0,53.0,56.0,47.0,44.0,3.0,3.0,974.0,740.0,234.0,262.0,959.0,718.0,241.0,260.0,3.0,3.0,0.0,0.0,5.0,2.0,3.0,4.0,691.0,511.0,180.0,217.0,1194.0,922.0,272.0,280.0,9.0,7.0,7.0,19.0,15.0,15.0,60.0,52.0,53.0,2.0,1.0,1.0,11.0,8.0,8.0,4.0,1.0,1.0,11.0,11.0,11.0,75.43,24.57,27.0,72.08,27.92,29.95,77.78,77.78,76.05,23.95,29.94,78.95,78.95,70.56,29.44,32.7,86.67,88.33,62.77,37.23,44.68,50.0,50.0,75.0,25.0,27.68,72.73,72.73,19.7,80.3,84.85,25.0,25.0,93.62,6.38,6.38,100.0,100.0,75.98,24.02,26.9,74.87,25.13,27.11,7.8,2.47,2.76,77.22,22.78,23.45,40.0,60.0,80.0,73.95,26.05,31.4,100.0,0.0,0.0
