,county,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate,pupil_total,disabled_pupil_total,limited_eng_pupil_total,poor_pupil_total,migrant_pupil_total,title_1_pupil_total,homeless_pupil_total,gifted_pupil_total,female_pupil_total,male_pupil_total,asian_pupil_total,black_pupil_total,hispanic_pupil_total,white_pupil_total,disabled_grad_base_total,limited_eng_grad_base_total,poor_grad_base_total,migrant_grad_base_total,title_1_grad_base_total,homeless_grad_base_total,gifted_grad_base_total
30,JEFFERSON,82.05,17.7,19.43,82.83,16.83,19.27,62.79,65.12,70.3,29.52,32.19,51.51,52.51,79.3,20.2,23.33,64.64,68.09,80.6,19.4,19.4,25.0,25.0,71.52,27.78,31.55,53.22,55.93,59.66,39.07,45.0,58.3,61.13,94.16,5.75,6.46,95.5,96.46,82.28,17.5,19.1,81.83,17.89,19.74,0.19,0.04,0.04,84.99,14.8,16.15,65.71,33.77,36.74,74.98,24.64,27.31,83.09,16.88,18.41,90678.0,7762.0,6700.0,29789.0,67.0,10839.0,2900.0,10053.0,44122.0,46556.0,2797.0,1146.0,22211.0,60676.0,602.0,398.0,2090.0,12.0,295.0,247.0,933.0
31,KIOWA,67.24,32.76,33.1,60.53,39.47,42.11,0.0,0.0,75.0,25.0,25.0,0.0,0.0,63.12,36.88,37.59,80.0,100.0,0.0,100.0,100.0,0.0,0.0,68.89,31.11,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,20.0,100.0,100.0,62.69,37.31,38.06,71.15,28.85,28.85,46.78,27.84,28.4,69.17,30.83,31.25,20.0,80.0,80.0,62.16,37.84,37.84,0.0,100.0,100.0,290.0,38.0,4.0,141.0,3.0,45.0,0.0,15.0,134.0,156.0,2.0,5.0,37.0,240.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0
32,KIT CARSON,73.83,26.17,26.71,68.35,31.65,32.91,60.0,66.67,79.22,20.78,22.35,76.47,76.47,69.66,30.34,31.05,82.14,83.93,88.37,11.63,11.63,66.67,66.67,79.49,20.51,20.51,100.0,100.0,18.75,81.25,81.25,60.0,60.0,85.48,14.52,14.52,100.0,100.0,72.68,27.32,27.89,74.9,25.1,25.62,10.24,3.85,3.93,73.15,26.85,27.05,100.0,0.0,0.0,75.52,24.48,25.87,50.0,50.0,50.0,1479.0,158.0,255.0,847.0,43.0,234.0,32.0,62.0,710.0,769.0,6.0,13.0,429.0,1013.0,15.0,17.0,56.0,9.0,1.0,5.0,11.0
33,LA PLATA,74.09,25.83,27.53,77.06,23.7,26.15,63.04,65.22,69.13,30.87,34.35,62.5,62.5,72.94,26.84,29.04,62.35,70.99,100.0,0.0,0.0,0.0,0.0,79.14,20.54,22.76,100.0,100.0,42.42,51.52,57.58,0.0,50.0,86.57,13.43,13.77,96.88,98.44,75.07,24.9,26.78,73.16,26.71,28.23,2.05,0.68,0.73,76.71,23.29,24.43,58.14,41.86,41.86,69.96,29.68,32.66,71.43,28.57,28.57,7534.0,654.0,230.0,2679.0,2.0,1889.0,66.0,581.0,3670.0,3864.0,63.0,43.0,1378.0,5281.0,46.0,8.0,162.0,0.0,1.0,4.0,64.0
34,LAKE,74.64,25.36,26.97,78.12,21.88,24.22,30.0,40.0,76.45,23.55,25.48,54.17,54.17,77.15,22.85,24.71,67.44,67.44,100.0,0.0,0.0,33.33,33.33,77.7,22.3,23.74,0.0,0.0,12.5,87.5,87.5,0.0,0.0,83.33,16.67,16.67,100.0,100.0,74.68,25.32,27.27,74.6,25.4,26.67,12.12,4.11,4.43,71.88,28.12,29.26,33.33,66.67,66.67,77.82,22.18,23.96,0.0,100.0,100.0,1246.0,128.0,467.0,862.0,3.0,139.0,8.0,60.0,616.0,630.0,1.0,3.0,843.0,352.0,10.0,24.0,43.0,3.0,0.0,0.0,8.0
35,LARIMER,82.93,16.84,19.09,82.39,17.48,21.23,57.58,59.6,79.73,20.35,25.15,71.65,71.65,85.44,14.08,18.31,72.47,75.74,75.56,24.44,24.44,60.0,60.0,77.94,21.54,24.64,16.67,16.67,68.44,30.6,37.57,67.8,71.19,94.18,5.75,6.62,97.97,98.64,83.1,16.68,18.91,82.78,17.0,19.26,0.56,0.11,0.13,84.3,15.48,17.17,73.99,25.54,30.55,79.53,20.19,24.08,77.86,22.14,25.85,30303.0,2351.0,2457.0,8581.0,45.0,2131.0,732.0,2764.0,14842.0,15461.0,998.0,419.0,5265.0,22446.0,198.0,127.0,643.0,5.0,6.0,118.0,295.0
36,LAS ANIMAS,62.51,37.42,38.79,72.79,27.21,28.62,55.56,61.11,74.42,25.58,25.58,100.0,100.0,68.79,31.15,32.72,73.81,77.78,62.5,37.5,37.5,0.0,0.0,68.93,30.97,33.1,52.94,58.82,7.69,92.31,100.0,33.33,33.33,82.61,17.39,18.84,100.0,100.0,62.4,37.53,38.52,62.63,37.3,39.07,4.09,2.46,2.53,57.29,42.71,43.69,33.33,66.67,66.67,68.34,31.53,33.25,76.67,23.33,23.33,2993.0,283.0,86.0,1525.0,8.0,988.0,13.0,69.0,1524.0,1469.0,30.0,48.0,1513.0,1323.0,18.0,2.0,126.0,0.0,17.0,3.0,8.0
37,LINCOLN,59.78,40.22,41.22,66.37,33.63,33.63,58.33,58.33,54.55,45.45,45.45,50.0,50.0,64.1,35.9,37.06,63.46,67.31,0.0,0.0,0.0,0.0,0.0,66.24,33.76,34.19,42.86,57.14,5.88,94.12,94.12,75.0,75.0,91.18,8.82,8.82,100.0,100.0,61.36,38.64,39.26,58.28,41.72,43.08,12.68,7.98,8.11,60.32,39.68,40.72,58.33,41.67,45.83,51.85,48.15,48.15,60.0,40.0,40.0,997.0,113.0,22.0,429.0,0.0,234.0,17.0,34.0,484.0,513.0,10.0,24.0,81.0,862.0,12.0,2.0,52.0,0.0,7.0,4.0,2.0
38,LOGAN,77.42,22.52,24.04,78.23,21.51,23.92,61.54,69.23,78.03,21.97,22.54,66.67,66.67,75.85,24.02,25.92,70.19,75.0,55.56,44.44,44.44,66.67,66.67,76.61,23.39,24.92,75.0,75.0,35.0,65.0,80.0,50.0,75.0,92.96,7.04,7.54,93.55,93.55,77.08,22.85,24.61,77.72,22.22,23.52,5.02,1.49,1.6,78.31,21.65,23.04,64.52,35.48,38.71,76.36,23.5,25.36,56.52,43.48,43.48,3228.0,372.0,173.0,1524.0,9.0,1244.0,20.0,199.0,1536.0,1692.0,23.0,31.0,698.0,2370.0,26.0,3.0,104.0,3.0,4.0,4.0,31.0
39,MESA,77.63,21.78,24.96,81.61,17.7,21.08,53.95,55.35,78.74,20.88,24.98,60.95,62.86,56.61,42.42,50.28,63.22,67.49,65.45,33.64,41.82,62.5,62.5,77.28,21.46,25.75,40.74,51.85,53.87,44.59,55.67,50.0,55.88,92.85,6.92,8.1,96.35,97.08,77.86,21.53,24.6,77.42,22.03,25.29,0.65,0.18,0.21,77.96,21.47,24.32,67.15,31.4,34.78,78.41,20.92,24.97,75.92,24.08,25.65,24785.0,2452.0,1585.0,726.0,110.0,4687.0,388.0,1272.0,11995.0,12790.0,191.0,207.0,5359.0,17855.0,215.0,105.0,609.0,16.0,27.0,68.0,137.0
40,MINERAL,61.54,38.46,38.46,66.67,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,33.33,33.33,50.0,50.0,0.0,0.0,0.0,0.0,0.0,61.54,38.46,38.46,88.89,88.89,0.0,0.0,0.0,0.0,0.0,75.0,25.0,25.0,0.0,0.0,62.5,37.5,37.5,60.71,39.29,39.29,130.21,78.12,78.12,66.67,33.33,33.33,0.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,100.0,104.0,3.0,0.0,48.0,0.0,104.0,0.0,4.0,48.0,56.0,1.0,0.0,18.0,81.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
41,MOFFAT,76.59,23.41,26.06,77.0,23.47,26.29,80.0,80.0,76.38,23.23,29.53,75.0,75.0,77.63,22.37,26.95,64.71,67.65,0.0,0.0,0.0,0.0,0.0,88.1,11.9,15.08,0.0,0.0,21.88,75.0,96.88,25.0,25.0,86.17,13.83,15.96,100.0,100.0,76.44,23.65,26.83,76.73,23.19,25.37,6.57,2.03,2.31,76.81,23.19,25.51,80.0,20.0,20.0,75.74,24.06,27.81,75.0,37.5,50.0,2448.0,213.0,254.0,1113.0,0.0,126.0,32.0,94.0,1163.0,1285.0,8.0,10.0,507.0,1850.0,10.0,4.0,68.0,0.0,0.0,8.0,2.0
42,MONTEZUMA,69.26,30.36,33.49,76.17,23.59,26.54,43.33,43.33,66.35,33.33,36.48,36.36,38.64,70.01,29.56,33.57,50.6,54.22,100.0,0.0,0.0,0.0,0.0,72.13,26.95,30.02,0.0,0.0,27.27,72.73,72.73,66.67,66.67,85.59,14.41,14.83,95.0,95.0,68.6,30.99,33.86,69.87,29.78,33.15,3.18,1.44,1.57,70.75,28.8,31.08,75.0,25.0,29.17,70.21,29.23,31.89,70.0,30.0,30.0,4479.0,407.0,318.0,2574.0,9.0,1959.0,11.0,236.0,2159.0,2320.0,20.0,24.0,715.0,2677.0,30.0,44.0,166.0,0.0,0.0,3.0,20.0
43,MONTROSE,77.25,22.27,25.3,79.18,20.33,23.11,43.75,43.75,80.92,18.62,22.11,61.11,61.11,78.05,21.37,25.78,70.11,71.22,58.7,36.96,46.74,11.11,22.22,76.56,22.96,26.45,16.67,16.67,40.78,56.86,71.76,57.89,57.89,91.56,8.44,8.65,96.0,100.0,78.1,21.41,24.28,76.44,23.09,26.28,2.26,0.62,0.7,76.8,22.72,25.64,72.22,27.78,27.78,78.88,20.63,23.77,75.0,25.0,25.0,7098.0,610.0,1090.0,3945.0,92.0,3127.0,255.0,474.0,3452.0,3646.0,32.0,36.0,2448.0,4344.0,32.0,54.0,271.0,9.0,6.0,19.0,50.0
44,MORGAN,76.85,23.08,25.03,75.29,24.52,27.39,53.57,60.71,80.33,19.61,21.58,48.31,55.06,78.1,21.82,24.6,66.14,75.2,51.65,47.93,52.07,41.38,44.83,76.62,23.27,25.24,75.0,78.57,27.93,72.07,82.12,36.0,44.0,92.82,7.18,7.46,100.0,100.0,77.12,22.78,24.89,76.59,23.38,25.18,2.71,0.8,0.87,77.4,22.48,24.09,50.31,49.69,51.57,78.1,21.87,24.17,69.57,30.43,30.43,5792.0,522.0,1571.0,3479.0,242.0,1985.0,179.0,362.0,2845.0,2947.0,23.0,159.0,3000.0,2491.0,28.0,89.0,254.0,29.0,56.0,25.0,30.0
45,OTERO,72.1,27.9,29.49,70.88,29.12,30.49,62.5,62.5,61.65,38.35,39.32,75.0,87.5,71.85,28.15,30.04,82.63,88.62,44.58,55.42,57.83,100.0,100.0,72.53,27.47,29.04,51.85,66.67,16.67,83.33,83.33,33.33,66.67,93.33,6.67,8.0,100.0,100.0,72.42,27.58,28.95,71.8,28.2,30.0,3.97,1.51,1.59,72.81,27.19,28.41,55.56,44.44,44.44,72.06,27.94,29.84,77.5,22.5,22.5,3764.0,364.0,206.0,2533.0,83.0,1780.0,6.0,75.0,1824.0,1940.0,40.0,27.0,1997.0,1633.0,24.0,8.0,167.0,1.0,27.0,3.0,12.0
46,OURAY,69.26,30.74,31.74,67.44,32.56,34.88,62.5,75.0,33.33,66.67,66.67,33.33,33.33,66.99,33.01,33.97,70.59,76.47,66.67,33.33,33.33,0.0,0.0,54.55,45.45,47.73,0.0,0.0,0.0,100.0,100.0,0.0,0.0,91.38,8.62,8.62,100.0,100.0,66.23,33.77,34.74,72.39,27.61,28.62,21.5,10.96,11.28,71.34,28.66,29.25,100.0,0.0,0.0,48.53,51.47,55.88,75.0,25.0,25.0,605.0,43.0,27.0,209.0,3.0,44.0,1.0,58.0,308.0,297.0,8.0,2.0,68.0,506.0,8.0,3.0,17.0,0.0,1.0,0.0,2.0
47,PARK,67.34,32.6,33.67,72.36,27.64,29.65,60.0,60.0,40.0,60.0,60.0,0.0,0.0,59.21,40.79,41.94,62.79,67.44,0.0,0.0,0.0,0.0,0.0,72.52,27.48,28.38,0.0,0.0,0.0,100.0,100.0,0.0,0.0,87.5,12.5,13.12,81.82,81.82,66.48,33.52,34.75,68.13,31.77,32.69,7.45,3.76,3.9,68.33,31.61,32.43,38.89,61.11,66.67,64.25,35.75,37.99,64.71,35.29,35.29,1871.0,199.0,5.0,782.0,0.0,222.0,5.0,160.0,892.0,979.0,17.0,18.0,179.0,1585.0,15.0,1.0,43.0,0.0,1.0,1.0,11.0
48,PHILLIPS,79.48,20.52,21.56,77.78,22.22,24.24,66.67,83.33,80.29,19.71,21.9,50.0,50.0,74.73,25.27,26.81,77.42,80.65,45.45,54.55,54.55,50.0,50.0,80.85,19.15,19.15,100.0,100.0,0.0,0.0,0.0,0.0,0.0,98.11,1.89,1.89,100.0,100.0,78.04,21.96,23.26,80.8,19.2,20.0,16.97,4.77,5.06,80.15,19.85,20.76,25.0,75.0,75.0,78.05,21.95,23.34,66.67,33.33,33.33,960.0,99.0,137.0,455.0,11.0,47.0,0.0,53.0,460.0,500.0,3.0,4.0,287.0,655.0,6.0,6.0,31.0,2.0,3.0,0.0,6.0
49,PITKIN,84.06,15.94,17.15,90.83,9.17,10.0,75.0,100.0,77.72,22.28,24.26,60.0,60.0,78.63,21.37,22.22,81.25,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.86,7.14,7.14,100.0,100.0,84.7,15.3,16.78,83.46,16.54,17.5,9.67,1.75,1.92,85.01,14.99,16.28,92.31,7.69,7.69,80.3,19.7,20.69,79.41,20.59,20.59,1819.0,120.0,202.0,117.0,0.0,0.0,0.0,98.0,876.0,943.0,34.0,13.0,203.0,1554.0,8.0,10.0,16.0,0.0,0.0,0.0,4.0
50,PROWERS,75.65,24.35,25.54,74.52,25.48,26.92,90.0,90.0,78.7,21.3,23.15,77.78,77.78,72.58,27.42,29.0,66.09,69.57,69.66,30.34,31.46,57.14,57.14,79.11,20.89,22.04,56.52,59.42,44.44,55.56,55.56,100.0,100.0,88.33,11.67,12.22,100.0,100.0,74.79,25.21,26.27,76.41,23.59,24.89,6.14,2.07,2.16,74.24,25.76,27.2,84.62,15.38,15.38,77.0,23.0,24.05,75.0,25.0,25.0,2600.0,208.0,216.0,1769.0,89.0,1216.0,27.0,180.0,1218.0,1382.0,8.0,13.0,1339.0,1180.0,10.0,9.0,115.0,7.0,69.0,1.0,18.0
51,PUEBLO,76.25,23.52,26.43,79.68,20.42,23.88,36.84,39.18,76.8,22.72,26.0,56.63,60.24,80.77,18.54,22.34,60.88,66.72,65.93,34.07,36.26,75.0,75.0,76.39,23.27,27.06,12.0,29.33,75.91,22.37,27.74,50.0,56.25,88.88,10.86,11.79,91.03,94.17,76.18,23.58,26.35,76.31,23.47,26.51,0.54,0.17,0.19,74.58,25.21,27.6,65.89,33.94,37.6,78.28,21.49,24.78,72.02,27.98,29.02,29136.0,3179.0,1681.0,16200.0,91.0,8868.0,1453.0,1925.0,14170.0,14966.0,193.0,601.0,15853.0,11869.0,171.0,83.0,1163.0,8.0,75.0,128.0,223.0
52,RIO BLANCO,73.85,26.15,27.01,81.2,18.8,18.8,100.0,100.0,78.08,21.92,21.92,100.0,100.0,66.49,33.51,34.05,86.67,86.67,100.0,0.0,0.0,0.0,0.0,72.81,27.19,27.19,0.0,0.0,100.0,0.0,0.0,0.0,0.0,92.86,7.14,7.14,100.0,100.0,72.04,27.96,28.75,75.62,24.38,25.31,11.51,4.47,4.59,74.27,25.73,26.67,71.43,28.57,28.57,72.51,27.49,28.07,75.0,25.0,25.0,1266.0,117.0,73.0,373.0,1.0,114.0,1.0,42.0,626.0,640.0,4.0,7.0,171.0,1061.0,5.0,2.0,15.0,0.0,1.0,0.0,6.0
53,RIO GRANDE,72.84,27.0,28.26,63.82,36.18,36.84,63.64,63.64,75.55,24.45,26.64,66.67,66.67,74.04,25.79,27.71,68.7,80.0,60.81,39.19,43.24,42.86,57.14,79.84,20.24,20.97,100.0,100.0,38.46,61.54,61.54,33.33,66.67,90.0,10.0,10.0,87.5,100.0,72.17,27.66,29.07,73.48,26.36,27.48,5.96,2.28,2.4,70.39,29.51,30.01,46.15,53.85,53.85,75.07,24.71,26.43,33.33,66.67,75.0,2463.0,152.0,274.0,1198.0,74.0,1240.0,26.0,30.0,1211.0,1252.0,12.0,13.0,1400.0,993.0,11.0,9.0,115.0,7.0,2.0,3.0,8.0
54,ROUTT,78.09,21.94,23.04,80.45,19.55,19.55,63.64,63.64,68.09,31.91,34.04,55.56,55.56,71.01,28.99,29.91,77.27,77.27,100.0,0.0,0.0,0.0,0.0,87.76,12.24,13.88,0.0,0.0,100.0,0.0,0.0,0.0,0.0,96.36,3.64,3.64,96.67,100.0,79.08,20.92,22.05,77.19,22.87,23.95,4.94,1.31,1.38,78.72,21.31,22.45,64.29,35.71,35.71,73.07,26.93,27.86,68.0,32.0,32.0,3346.0,358.0,235.0,759.0,5.0,245.0,1.0,220.0,1601.0,1745.0,50.0,14.0,323.0,2900.0,33.0,9.0,44.0,0.0,0.0,0.0,30.0
55,SAGUACHE,67.87,32.13,34.66,68.18,31.82,32.95,66.67,66.67,67.19,32.81,36.76,60.0,60.0,70.6,29.4,32.04,79.31,79.31,48.31,51.69,59.32,50.0,50.0,67.8,32.2,35.46,81.82,81.82,48.78,51.22,56.91,75.0,75.0,100.0,0.0,0.0,100.0,100.0,69.01,30.99,33.53,66.73,33.27,35.8,13.45,6.04,6.54,59.37,40.63,42.65,50.0,50.0,50.0,73.05,26.95,29.75,50.0,50.0,100.0,1027.0,88.0,253.0,796.0,118.0,674.0,123.0,5.0,513.0,514.0,2.0,4.0,642.0,347.0,9.0,10.0,58.0,6.0,22.0,8.0,2.0
56,SAN JUAN,53.57,46.43,47.62,57.14,42.86,42.86,0.0,0.0,52.94,47.06,52.94,100.0,100.0,58.82,41.18,43.14,100.0,100.0,0.0,0.0,0.0,0.0,0.0,67.86,32.14,35.71,100.0,100.0,0.0,100.0,100.0,100.0,100.0,69.23,30.77,30.77,0.0,0.0,46.88,53.12,56.25,57.69,42.31,42.31,146.5,166.0,175.78,57.63,42.37,42.37,0.0,0.0,0.0,44.0,56.0,60.0,0.0,0.0,0.0,84.0,7.0,17.0,51.0,0.0,28.0,1.0,13.0,32.0,52.0,0.0,0.0,25.0,59.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0
57,SAN MIGUEL,80.28,19.72,20.38,80.82,19.18,20.55,40.0,80.0,76.56,23.44,23.44,60.0,60.0,82.05,17.95,19.23,80.0,80.0,100.0,0.0,0.0,0.0,0.0,78.22,21.78,21.78,0.0,0.0,0.0,100.0,100.0,0.0,0.0,93.44,6.56,6.56,100.0,100.0,79.27,20.73,21.27,81.36,18.64,19.42,14.41,3.77,3.87,82.38,17.62,18.42,100.0,0.0,0.0,69.75,30.25,30.25,64.29,35.71,35.71,1065.0,73.0,128.0,312.0,1.0,101.0,1.0,61.0,550.0,515.0,14.0,3.0,162.0,874.0,5.0,5.0,10.0,0.0,0.0,0.0,5.0
58,SEDGWICK,28.22,71.54,72.69,53.03,46.97,48.48,6.82,13.64,100.0,0.0,0.0,7.14,28.57,60.7,38.98,39.62,16.22,29.28,0.0,0.0,0.0,0.0,0.0,84.62,12.82,15.38,2.56,15.38,0.0,0.0,0.0,16.67,22.22,73.91,26.09,26.09,50.0,56.25,24.82,74.77,76.08,33.28,66.72,67.62,2.5,7.54,7.68,29.12,70.55,71.96,11.67,88.33,88.33,29.7,70.3,70.61,0.0,100.0,100.0,1655.0,132.0,6.0,313.0,0.0,39.0,0.0,23.0,991.0,664.0,14.0,60.0,330.0,1202.0,44.0,14.0,222.0,2.0,39.0,18.0,16.0
59,STATE TOTAL,75.06,24.67,27.0,77.97,21.81,24.71,53.66,55.79,74.93,24.85,27.94,53.3,54.51,74.06,25.45,28.99,61.4,65.04,63.14,36.16,40.56,55.73,58.07,70.32,28.97,32.95,52.08,55.81,53.08,45.3,54.17,49.08,52.72,90.83,9.05,10.04,91.58,93.22,75.19,24.55,26.77,74.94,24.78,27.21,0.02,0.01,0.01,77.42,22.39,23.98,64.76,34.59,38.9,72.93,26.74,30.02,77.21,22.68,24.42,939283.0,84121.0,135712.0,369904.0,2732.0,223008.0,21337.0,73344.0,458512.0,480771.0,28964.0,48049.0,301035.0,521342.0,5775.0,6171.0,25718.0,384.0,7398.0,2394.0,6604.0
60,SUMMIT,77.77,22.2,23.27,84.52,15.48,16.72,62.96,62.96,81.99,18.01,19.67,60.0,62.22,77.92,21.99,23.89,67.57,71.62,0.0,0.0,0.0,100.0,100.0,93.96,6.04,8.05,0.0,0.0,41.67,58.33,58.33,0.0,0.0,86.53,13.47,13.88,100.0,100.0,78.43,21.57,22.74,77.17,22.78,23.75,4.85,1.33,1.41,76.52,23.48,24.29,52.94,47.06,52.94,81.85,18.05,19.61,66.67,33.33,35.9,3361.0,323.0,844.0,1214.0,0.0,149.0,12.0,245.0,1618.0,1743.0,39.0,17.0,964.0,2240.0,27.0,45.0,74.0,2.0,2.0,2.0,33.0
61,TELLER,68.89,31.08,32.76,65.51,34.49,36.24,78.95,84.21,64.1,35.9,35.9,66.67,66.67,36.59,63.41,67.32,74.74,82.11,0.0,0.0,0.0,0.0,0.0,65.17,34.83,38.79,0.0,0.0,52.94,47.06,52.94,64.29,71.43,81.71,18.29,18.29,91.67,91.67,69.34,30.66,32.73,68.5,31.44,32.8,4.21,1.86,1.99,69.46,30.51,32.22,66.67,33.33,33.33,66.2,33.8,35.21,66.67,33.33,37.5,3571.0,287.0,39.0,511.0,0.0,379.0,34.0,82.0,1647.0,1924.0,24.0,18.0,284.0,3088.0,19.0,3.0,95.0,0.0,0.0,14.0,12.0
62,WASHINGTON,76.67,22.8,23.75,73.58,24.53,26.42,57.14,57.14,68.42,31.58,31.58,100.0,100.0,68.57,30.24,32.14,93.75,93.75,29.41,70.59,70.59,100.0,100.0,69.07,29.9,31.44,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,73.17,26.21,27.67,80.26,19.31,19.74,15.34,5.49,5.8,78.11,21.27,22.39,100.0,0.0,0.0,65.0,35.0,35.0,50.0,50.0,50.0,943.0,106.0,19.0,420.0,17.0,194.0,4.0,50.0,477.0,466.0,4.0,2.0,120.0,804.0,7.0,2.0,32.0,1.0,7.0,1.0,8.0
63,WELD,76.41,23.34,25.42,76.52,23.62,25.79,65.42,67.92,80.66,19.07,21.65,75.93,76.85,79.76,19.77,22.86,74.33,78.27,62.54,35.69,42.18,75.34,78.08,75.42,23.86,27.14,57.58,58.59,42.01,56.75,67.49,63.81,67.62,89.8,9.97,10.65,96.98,98.71,76.65,23.04,25.15,76.19,23.63,25.68,0.37,0.11,0.12,76.12,23.72,25.14,61.92,37.52,40.67,77.74,21.94,24.71,63.65,36.17,37.79,42327.0,3548.0,8107.0,20210.0,678.0,9011.0,726.0,2206.0,20612.0,21715.0,553.0,541.0,19198.0,21171.0,240.0,324.0,1270.0,73.0,99.0,105.0,232.0
64,YUMA,75.43,24.57,27.0,72.08,27.92,29.95,77.78,77.78,76.05,23.95,29.94,78.95,78.95,70.56,29.44,32.7,86.67,88.33,62.77,37.23,44.68,50.0,50.0,75.0,25.0,27.68,72.73,72.73,19.7,80.3,84.85,25.0,25.0,93.62,6.38,6.38,100.0,100.0,75.98,24.02,26.9,74.87,25.13,27.11,7.8,2.47,2.76,77.22,22.78,23.45,40.0,60.0,80.0,73.95,26.05,31.4,100.0,0.0,0.0,1933.0,197.0,501.0,1104.0,94.0,672.0,66.0,47.0,974.0,959.0,3.0,5.0,691.0,1194.0,9.0,19.0,60.0,2.0,11.0,4.0,11.0
