county,school_dist,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed
MORGAN,BRUSH RE-2(J),1603,1244,359,396,140,101,39,40,272,236,36,46,893,688,205,236,31,16,15,18,107,92,15,20,35,5,30,38,142,132,10,11,806,623,183,203,797,621,176,193,4,4,0,0,17,11,6,6,789,623,166,188,755,577,178,193,10,6,7,10,8,8,61,44,50,4,3,3,2,2,2,6,2,4,7,7,7
MORGAN,FORT MORGAN RE-3,3403,2629,770,843,326,255,70,83,1181,931,249,269,2316,1809,504,568,192,98,93,100,1285,987,296,327,123,37,86,95,172,161,11,11,1654,1282,369,408,1749,1347,401,435,15,9,6,6,139,67,72,75,2017,1599,417,463,1177,914,260,283,16,7,8,74,34,40,159,99,116,22,8,9,9,4,6,13,3,3,19,19,19
MORGAN,WELDON VALLEY RE-20(J),225,166,59,59,19,14,5,5,2,2,0,0,4,1,3,3,0,0,0,0,34,30,4,4,0,0,0,0,18,15,3,3,119,88,31,31,106,78,28,28,1,0,1,1,0,0,0,0,33,21,12,12,191,145,46,46,1,1,1,0,0,0,6,6,6,0,0,0,2,2,2,0,0,0,1,1,1
MORGAN,WIGGINS RE-50(J),561,412,149,152,37,23,14,15,116,93,23,24,266,219,47,49,19,11,8,8,559,412,147,150,21,8,13,14,30,28,2,2,266,201,65,66,295,211,84,86,3,3,0,0,3,2,1,1,161,100,61,62,368,292,76,78,1,1,1,5,1,1,28,19,19,3,1,1,43,34,34,6,4,4,3,3,3
OTERO,EAST OTERO R-1,1494,1056,438,471,174,118,56,59,37,28,9,9,1030,755,275,298,6,5,1,1,866,619,247,264,2,0,2,2,13,12,1,1,729,518,211,226,765,538,227,245,6,5,1,1,6,5,1,1,945,684,261,281,498,340,158,171,13,7,7,3,2,2,78,65,69,0,0,0,22,11,14,0,0,0,2,2,2
OTERO,ROCKY FORD R-2,965,700,265,279,97,68,29,31,93,64,29,31,752,548,204,217,24,12,12,14,657,492,165,175,1,0,1,1,24,22,2,3,438,310,128,133,527,390,137,146,7,5,2,2,11,6,5,5,669,500,169,181,274,185,89,91,5,3,3,2,1,2,41,28,34,1,1,1,3,2,3,2,0,1,2,2,2
OTERO,MANZANOLA 3J,201,120,81,85,14,12,2,2,59,23,36,36,162,99,63,66,45,17,28,28,100,60,40,41,0,0,0,0,3,3,0,0,94,56,38,39,107,64,43,46,0,0,0,0,1,1,0,0,138,79,59,62,62,40,22,23,1,1,1,3,3,3,11,10,10,0,0,0,0,0,0,0,0,0,1,1,1
OTERO,FOWLER R-4J,463,345,118,124,32,27,5,5,9,5,4,4,269,185,84,90,4,0,4,4,52,36,16,16,0,0,0,0,22,22,0,0,244,190,54,56,219,155,64,68,0,0,0,0,0,0,0,0,94,68,26,28,358,273,85,87,2,2,2,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,2,2,2
OTERO,CHERAW 31,224,178,46,48,26,16,10,10,0,0,0,0,130,99,31,33,3,3,0,0,69,54,15,15,1,1,0,0,13,11,2,2,114,97,17,18,110,81,29,30,0,0,0,0,3,0,3,3,46,33,13,14,172,143,29,30,1,0,0,0,0,0,10,8,8,0,0,0,2,1,1,1,1,1,5,5,5
OTERO,SWINK 33,417,315,102,103,21,17,4,4,8,7,1,1,190,134,56,57,1,0,1,1,36,30,6,6,2,0,2,2,0,0,0,0,205,150,55,56,212,165,47,47,27,21,6,6,6,3,3,3,105,75,30,30,269,208,61,62,2,2,2,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0
OURAY,OURAY R-1,219,146,73,75,25,17,8,8,9,6,3,3,70,47,23,23,0,0,0,0,20,11,9,9,0,0,0,0,29,25,4,4,117,76,41,42,102,70,32,33,4,3,1,1,1,1,0,0,30,17,13,14,182,123,59,60,5,4,4,3,1,1,11,8,8,0,0,0,1,0,0,0,0,0,0,0,0
OURAY,RIDGWAY R-2,386,273,113,117,18,12,6,7,18,3,15,15,139,93,46,48,3,2,1,1,24,13,11,12,1,0,1,1,29,28,1,1,191,128,63,65,195,145,50,52,4,3,1,1,1,1,0,0,38,16,22,24,324,238,86,88,3,1,2,0,0,0,6,4,5,0,0,0,0,0,0,0,0,0,2,2,2
PARK,PLATTE CANYON 1,1247,857,390,404,133,96,37,39,0,0,0,0,467,301,166,171,0,0,0,0,125,79,46,47,5,0,5,5,116,100,16,17,588,405,183,191,659,452,207,213,15,11,4,4,9,5,4,5,104,72,32,33,1060,736,324,334,12,8,8,0,0,0,30,20,21,0,0,0,1,0,0,1,0,0,9,7,7
PARK,PARK COUNTY RE-2,624,403,220,226,66,48,18,20,5,2,3,3,315,162,153,157,0,0,0,0,97,82,15,16,0,0,0,0,44,40,4,4,304,188,116,119,320,215,104,107,2,0,2,2,9,2,7,7,75,43,32,35,525,347,177,180,3,1,1,1,0,0,13,7,8,0,0,0,0,0,0,0,0,0,2,2,2
PHILLIPS,HOLYOKE RE-1J,641,505,136,144,69,54,15,17,137,110,27,30,330,245,85,92,11,5,6,6,29,23,6,6,0,0,0,0,36,35,1,1,302,234,68,72,339,271,68,72,1,0,1,1,3,1,2,2,260,202,58,62,371,296,75,79,3,2,2,6,3,3,23,17,17,2,1,1,3,3,3,0,0,0,3,3,3
PHILLIPS,HAXTUN RE-2J,319,258,61,63,30,23,7,7,0,0,0,0,125,95,30,30,0,0,0,0,18,15,3,3,0,0,0,0,17,17,0,0,158,125,33,35,161,133,28,28,2,2,0,0,1,0,1,1,27,22,5,5,284,229,55,57,3,2,3,0,0,0,8,7,8,0,0,0,0,0,0,0,0,0,3,3,3
PITKIN,ASPEN 1,1819,1529,290,312,120,109,11,12,202,157,45,49,117,92,25,26,0,0,0,0,0,0,0,0,0,0,0,0,98,91,7,7,876,742,134,147,943,787,156,165,34,27,7,7,13,12,1,1,203,163,40,42,1554,1321,233,253,8,6,8,10,6,6,16,13,14,0,0,0,0,0,0,0,0,0,4,4,4
PROWERS,GRANADA RE-1,271,178,93,93,14,9,5,5,25,16,9,9,179,111,68,68,18,1,17,17,61,42,19,19,2,2,0,0,14,12,2,2,114,74,40,40,157,104,53,53,0,0,0,0,0,0,0,0,197,124,73,73,74,54,20,20,1,1,1,2,2,2,9,9,9,0,0,0,0,0,0,1,1,1,3,3,3
PROWERS,LAMAR RE-2,1782,1368,414,441,154,111,43,46,114,91,23,26,1242,920,322,347,48,39,9,10,894,708,186,196,25,10,15,15,127,112,15,16,846,642,204,215,936,726,210,226,7,6,1,1,10,8,2,2,927,741,186,199,790,577,213,227,7,6,6,4,2,2,82,47,51,6,3,3,66,37,39,0,0,0,11,11,11
PROWERS,HOLLY RE-3,291,240,51,55,29,27,2,2,71,57,14,15,205,164,41,44,21,20,1,1,168,133,35,39,0,0,0,0,32,28,4,4,126,95,31,33,165,145,20,22,1,0,1,1,0,0,0,0,141,119,22,23,143,115,28,31,2,2,2,3,3,3,13,13,13,1,1,1,2,2,2,0,0,0,4,4,4
PROWERS,WILEY RE-13 JT,256,181,75,75,11,8,3,3,6,6,0,0,143,89,54,54,2,2,0,0,93,79,14,14,0,0,0,0,7,7,0,0,132,100,32,32,124,81,43,43,0,0,0,0,3,3,0,0,74,47,27,27,173,130,43,43,0,0,0,0,0,0,11,7,7,0,0,0,1,0,0,0,0,0,0,0,0
PUEBLO,PUEBLO CITY 60,19216,14879,4288,4939,2195,1782,418,496,1324,1033,283,326,12394,10231,2057,2584,54,34,20,21,8451,6485,1936,2263,1421,1093,303,378,1129,998,126,138,9344,7232,2087,2395,9872,7647,2201,2544,122,94,28,29,465,313,151,170,12672,10104,2541,2990,5578,4118,1444,1610,127,36,38,72,43,44,876,490,538,4,3,3,65,6,16,119,60,67,139,125,128
PUEBLO,PUEBLO COUNTY 70,9920,7336,2565,2763,984,751,231,263,357,258,99,111,3806,2853,947,1035,37,26,11,12,417,289,128,137,32,10,22,25,796,713,83,89,4826,3562,1254,1339,5094,3774,1311,1424,71,45,26,27,136,83,53,56,3181,2305,866,939,6291,4734,1548,1666,44,27,29,11,4,6,287,218,238,4,3,3,10,3,6,9,4,5,84,78,82
RIO BLANCO,MEEKER RE1,735,541,194,196,64,48,16,16,63,47,16,16,209,139,70,71,1,1,0,0,76,51,25,25,0,0,0,0,28,28,0,0,364,258,106,108,371,283,88,88,3,2,1,1,3,2,1,1,106,81,25,25,607,446,161,163,2,2,2,1,1,1,9,8,8,0,0,0,1,0,0,0,0,0,6,6,6
RIO BLANCO,RANGELY RE-4,531,394,137,146,53,47,6,6,10,10,0,0,164,109,55,56,0,0,0,0,38,32,6,6,1,1,0,0,14,11,3,3,262,193,69,72,269,201,68,74,1,1,0,0,4,3,1,1,65,43,22,23,454,342,112,120,3,3,3,1,1,1,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0
RIO GRANDE,DEL NORTE C-7,635,441,193,203,49,26,23,23,24,18,6,6,290,192,98,105,5,4,1,1,388,297,91,98,1,0,1,1,9,7,2,2,314,219,95,100,321,222,98,103,1,0,1,2,5,1,4,4,329,238,91,97,292,198,93,96,5,5,5,2,1,1,26,21,22,1,0,0,0,0,0,0,0,0,2,2,2
RIO GRANDE,MONTE VISTA C-8,1338,954,381,402,90,61,29,30,212,158,54,60,888,682,204,220,65,38,27,30,572,462,111,113,25,10,15,15,6,5,1,1,649,454,193,205,689,500,188,197,5,1,4,4,7,4,3,3,927,692,232,250,370,234,136,138,6,2,2,7,5,5,74,45,55,6,3,4,2,2,2,3,1,2,2,2,2
RIO GRANDE,SARGENT RE-33J,490,399,91,91,13,10,3,3,38,31,7,7,20,13,7,7,4,3,1,1,280,231,49,49,0,0,0,0,15,15,0,0,248,201,47,47,242,198,44,44,6,3,3,3,1,1,0,0,144,121,23,23,331,267,64,64,0,0,0,0,0,0,15,13,15,0,0,0,0,0,0,0,0,0,4,3,4
ROUTT,HAYDEN RE-1,423,307,116,118,60,49,11,11,29,24,5,5,191,130,61,63,0,0,0,0,38,32,6,6,1,1,0,0,13,13,0,0,186,134,52,54,237,173,64,64,6,5,1,1,4,3,1,1,48,37,11,11,361,258,103,105,7,6,6,0,0,0,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0
ROUTT,STEAMBOAT SPRINGS RE-2,2485,1995,491,520,243,194,49,49,179,119,60,65,368,281,87,91,5,5,0,0,186,167,19,23,0,0,0,0,196,190,6,6,1195,973,222,234,1290,1022,269,286,39,26,13,13,9,6,3,3,237,175,62,65,2146,1741,406,431,22,11,11,9,5,5,24,15,15,0,0,0,0,0,0,0,0,0,30,29,30
ROUTT,SOUTH ROUTT RE 3,438,311,127,133,55,45,10,10,27,17,10,10,200,128,72,73,0,0,0,0,21,16,5,5,0,0,0,0,11,9,2,2,220,159,61,65,218,152,66,68,5,3,2,2,1,0,1,1,38,24,14,14,393,284,109,115,4,4,4,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
SAGUACHE,MOUNTAIN VALLEY RE 1,134,80,54,60,16,11,5,6,2,2,0,0,86,50,36,42,0,0,0,0,95,60,35,41,16,8,8,9,0,0,0,0,76,46,30,34,58,34,24,26,0,0,0,0,0,0,0,0,33,25,8,10,96,55,41,45,1,1,1,0,0,0,8,7,7,0,0,0,1,1,1,1,1,1,0,0,0
SAGUACHE,MOFFAT 2,231,154,77,80,19,14,5,5,5,3,2,3,111,71,40,40,2,2,0,0,87,51,36,38,21,13,8,8,3,3,0,0,109,75,34,35,122,79,43,45,2,1,1,2,3,1,2,2,12,11,1,1,204,132,72,74,2,2,2,0,0,0,14,12,12,0,0,0,13,12,12,4,3,3,1,1,1
SAGUACHE,CENTER 26 JT,662,463,199,216,53,35,18,18,246,165,81,90,599,441,158,173,116,55,61,70,492,346,146,160,86,39,47,53,2,2,0,0,328,233,95,103,334,230,104,113,0,0,0,0,1,1,0,0,597,433,164,180,47,19,28,29,6,3,3,10,6,6,36,27,27,6,3,3,8,5,5,3,2,2,1,1,1
SAN JUAN,SILVERTON 1,84,45,39,40,7,4,3,3,17,9,8,9,51,30,21,22,0,0,0,0,28,19,9,10,1,0,1,1,13,9,4,4,32,15,17,18,52,30,22,22,0,0,0,0,0,0,0,0,25,11,14,15,59,34,25,25,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0
SAN MIGUEL,TELLURIDE R-1,788,637,151,153,48,37,11,12,105,83,22,22,181,161,20,20,1,1,0,0,66,50,16,16,1,0,1,1,35,33,2,2,403,327,76,76,385,310,75,77,12,9,3,3,1,1,0,0,132,94,38,38,635,526,109,111,5,2,4,4,2,2,5,3,3,0,0,0,0,0,0,0,0,0,5,5,5
SAN MIGUEL,NORWOOD R-2J,277,218,59,64,25,22,3,3,23,15,8,8,131,95,36,40,0,0,0,0,35,29,6,6,0,0,0,0,26,24,2,2,147,109,38,41,130,109,21,23,2,0,2,2,2,2,0,0,30,19,11,11,239,194,45,50,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
SEDGWICK,JULESBURG RE-1,1514,361,1149,1168,107,49,58,60,6,6,0,0,209,112,96,98,0,0,0,0,35,31,3,4,0,0,0,0,20,15,5,5,923,202,717,730,591,159,432,438,12,0,12,12,58,6,52,52,311,83,228,229,1087,262,821,838,44,3,6,14,1,4,219,33,62,2,0,0,39,1,6,18,3,4,16,8,9
SEDGWICK,PLATTE VALLEY RE-3,141,106,35,35,25,21,4,4,0,0,0,0,104,78,26,26,0,0,0,0,4,2,2,2,0,0,0,0,3,2,1,1,68,44,24,24,73,62,11,11,2,0,2,2,2,1,1,1,19,15,4,4,115,88,27,27,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
SUMMIT,SUMMIT RE-1,3361,2614,746,782,323,273,50,54,844,692,152,166,1214,946,267,290,0,0,0,0,149,140,9,12,12,5,7,7,245,212,33,34,1618,1269,349,368,1743,1345,397,414,39,26,13,14,17,9,8,9,964,789,174,189,2240,1714,526,544,27,17,17,45,27,28,74,50,53,2,2,2,2,0,0,2,0,0,33,33,33
TELLER,CRIPPLE CREEK-VICTOR RE-1,483,268,215,236,60,37,23,23,5,3,2,2,271,150,121,138,0,0,0,0,235,125,110,123,27,15,12,14,8,5,3,3,219,123,96,107,264,145,119,129,4,3,1,1,8,4,4,4,46,23,23,24,411,232,179,199,4,2,2,0,0,0,34,24,25,0,0,0,0,0,0,13,9,9,2,1,1
TELLER,WOODLAND PARK RE-2,3088,2192,895,934,227,151,76,81,34,22,12,12,240,37,203,206,0,0,0,0,144,122,22,24,7,3,4,4,74,62,12,12,1428,1019,409,432,1660,1173,486,502,20,13,7,8,10,8,2,2,238,165,73,76,2677,1913,763,796,15,13,14,3,2,2,61,47,53,0,0,0,0,0,0,1,0,1,10,10,10
WASHINGTON,AKRON R-1,386,309,72,77,47,35,10,12,6,6,0,0,186,139,42,47,2,1,1,1,44,33,9,11,2,0,2,2,17,17,0,0,193,153,37,40,193,156,35,37,3,1,2,2,0,0,0,0,51,44,7,7,324,256,63,68,4,3,3,1,1,1,17,16,16,1,1,1,0,0,0,1,1,1,1,1,1
WASHINGTON,ARICKAREE R-2,112,86,26,26,7,5,2,2,7,3,4,4,50,28,22,22,14,4,10,10,16,10,6,6,0,0,0,0,0,0,0,0,49,32,17,17,63,54,9,9,1,1,0,0,0,0,0,0,27,8,19,19,84,77,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASHINGTON,OTIS R-3,203,159,44,47,26,20,6,6,2,2,0,0,71,48,23,25,1,0,1,1,18,16,2,2,2,0,2,2,18,18,0,0,100,72,28,31,103,87,16,16,0,0,0,0,1,1,0,0,21,12,9,9,176,141,35,38,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,6,6,6
WASHINGTON,LONE STAR 101,126,94,32,32,13,8,5,5,2,0,2,2,56,40,16,16,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,64,48,16,16,62,46,16,16,0,0,0,0,0,0,0,0,9,4,5,5,117,90,27,27,3,1,1,0,0,0,6,5,5,0,0,0,1,1,1,0,0,0,0,0,0
WASHINGTON,WOODLIN R-104,116,75,41,42,13,10,3,3,2,2,0,0,57,33,24,25,0,0,0,0,116,75,41,42,0,0,0,0,6,6,0,0,71,44,27,28,45,31,14,14,0,0,0,0,1,1,0,0,12,10,2,2,103,64,39,40,0,0,0,1,1,1,3,3,3,0,0,0,6,6,6,0,0,0,1,1,1
WELD,WELD COUNTY RE-1,2094,1517,574,598,212,152,60,61,397,315,81,89,830,678,151,161,19,19,0,0,165,138,27,27,17,8,9,11,83,68,15,15,1005,723,280,292,1089,794,294,306,8,5,3,3,9,7,2,2,1099,818,278,297,941,662,279,283,14,10,11,15,9,9,54,38,40,4,2,2,0,0,0,0,0,0,11,11,11
WELD,EATON RE-2,1985,1533,451,472,127,89,38,38,176,136,40,46,586,439,146,153,24,17,7,9,157,126,31,34,63,22,40,41,141,133,8,8,961,738,222,232,1024,795,229,240,11,6,5,5,13,12,1,1,449,314,134,148,1479,1176,303,310,2,1,1,3,2,2,26,21,22,0,0,0,0,0,0,2,2,2,13,13,13
WELD,KEENESBURG RE-3(J),2497,1833,662,698,198,146,52,55,445,331,114,117,1223,900,321,351,18,9,9,9,138,99,39,43,125,49,76,86,135,121,14,14,1202,903,297,313,1295,930,365,385,15,9,6,7,14,9,5,6,886,641,244,258,1501,1118,382,399,12,9,9,20,19,19,65,59,59,5,5,5,1,0,0,5,4,4,8,8,8
WELD,WINDSOR RE-4,4957,3878,1072,1116,383,301,82,83,88,56,32,35,1036,774,255,277,10,7,3,3,114,95,19,20,35,7,28,28,207,188,19,19,2386,1871,511,535,2571,2007,561,581,56,42,14,14,19,12,7,7,696,516,179,188,4024,3179,839,872,23,15,15,4,2,2,57,45,47,0,0,0,0,0,0,5,2,2,34,33,34
WELD,JOHNSTOWN-MILLIKEN RE-5J,3602,2742,858,892,331,252,79,83,289,237,52,54,1095,892,202,207,13,12,1,1,124,105,19,19,1,1,0,0,192,172,20,20,1721,1306,413,429,1881,1436,445,463,29,19,10,10,21,14,7,8,1052,849,203,217,2443,1817,624,643,8,7,7,15,10,11,69,43,50,2,1,1,1,1,1,1,1,1,5,5,5
WELD,GREELEY 6,21971,16903,4982,5624,1875,1452,428,488,5636,4594,1022,1188,13036,10499,2455,2964,496,302,183,221,5826,4338,1426,1686,400,178,214,268,1225,1099,121,133,10769,8328,2389,2708,11202,8575,2593,2916,403,252,150,158,439,266,170,184,12480,9881,2545,2960,8233,6217,1992,2184,148,93,97,201,149,150,794,571,600,43,34,34,85,47,48,76,47,50,146,140,143
WELD,PLATTE VALLEY RE-7,1212,960,252,259,134,107,27,31,89,70,19,19,188,152,36,38,11,5,6,6,584,459,125,125,2,2,0,0,66,61,5,6,584,464,120,123,628,496,132,136,1,1,0,0,3,2,1,1,365,261,104,105,839,695,144,150,6,5,5,6,5,5,48,40,41,3,2,2,0,0,0,4,2,3,5,5,5
WELD,WELD COUNTY S/D RE-8,2609,1976,631,677,155,120,35,36,858,719,139,158,1551,1326,224,253,67,44,22,26,1318,1024,292,309,52,22,30,39,117,103,14,16,1268,963,303,327,1341,1013,328,350,17,9,8,8,16,7,9,10,1793,1395,397,432,739,536,202,212,18,8,9,53,43,44,104,76,82,15,10,12,3,0,0,7,4,4,3,3,3
WELD,AULT-HIGHLAND RE-9,950,659,290,314,101,74,27,30,125,81,43,45,505,346,158,169,17,7,10,10,453,315,137,147,29,14,15,17,33,31,2,2,480,328,152,164,470,331,138,150,4,3,1,1,2,1,1,1,337,227,109,120,581,409,172,183,7,7,7,7,7,7,37,35,37,1,1,1,0,0,0,5,5,5,4,4,4
WELD,BRIGGSDALE RE-10,169,130,39,39,11,8,3,3,0,0,0,0,82,63,19,19,1,0,1,1,10,9,1,1,2,2,0,0,0,0,0,0,97,73,24,24,72,57,15,15,9,6,3,3,0,0,0,0,13,9,4,4,145,114,31,31,1,1,1,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
WELD,PRAIRIE RE-11,185,142,43,44,16,12,4,4,4,0,4,4,54,33,21,21,2,2,0,0,26,18,8,8,0,0,0,0,7,5,2,2,94,71,23,23,91,71,20,21,0,0,0,0,5,5,0,0,25,11,14,14,153,124,29,30,1,1,1,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,2,2,2
WELD,PAWNEE RE-12,96,70,26,27,5,2,3,3,0,0,0,0,24,17,7,7,0,0,0,0,96,70,26,27,0,0,0,0,0,0,0,0,45,31,14,14,51,39,12,13,0,0,0,0,0,0,0,0,3,2,1,1,93,68,25,26,0,0,0,0,0,0,2,2,2,0,0,0,9,9,9,0,0,0,1,1,1
YUMA,YUMA 1,916,686,230,265,80,58,22,26,333,249,84,109,564,398,166,194,76,50,26,33,223,154,69,84,50,9,41,44,15,14,1,1,471,349,122,146,445,337,108,119,2,2,0,0,1,0,1,2,456,338,118,149,445,339,106,108,1,0,0,15,12,12,30,25,26,2,1,1,11,8,8,4,1,1,5,5,5
YUMA,WRAY RD-2,762,587,175,184,85,64,21,21,131,107,24,28,407,299,108,113,11,7,4,4,426,334,92,95,16,4,12,12,23,21,2,2,377,294,83,86,385,293,92,98,1,1,0,0,4,2,2,2,182,138,44,49,557,437,120,124,6,5,5,4,3,3,19,16,16,0,0,0,0,0,0,0,0,0,4,4,4
YUMA,IDALIA RJ-3,159,119,40,42,18,14,4,4,36,24,12,13,95,62,33,35,4,1,3,3,19,12,7,7,0,0,0,0,5,5,0,0,83,62,21,22,76,57,19,20,0,0,0,0,0,0,0,0,43,28,15,16,110,88,22,23,1,1,1,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,1,1,1
YUMA,LIBERTY J-4,96,66,30,31,14,6,8,8,1,1,0,0,38,20,18,19,3,1,2,2,4,4,0,0,0,0,0,0,4,4,0,0,43,35,8,8,53,31,22,23,0,0,0,0,0,0,0,0,10,7,3,3,82,58,24,25,1,1,1,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1
DENVER,CHARTER SCHOOL INSTITUTE,12020,5323,6660,6800,708,282,424,431,2067,904,1157,1181,5764,2408,3339,3419,5,4,1,1,6594,2976,3593,3689,94,26,68,69,343,172,169,174,6311,2808,3483,3570,5709,2515,3177,3230,297,184,113,114,697,327,368,377,4881,2057,2806,2875,5811,2610,3186,3240,111,16,17,141,31,34,760,166,185,10,3,3,747,176,195,121,11,11,47,23,27
CHAFFEE,MOUNTAIN BOCES,184,76,113,116,36,17,24,24,11,5,6,6,127,45,82,84,0,0,0,0,0,0,0,0,35,15,20,21,1,1,0,1,103,37,66,67,81,39,47,49,0,0,0,0,2,1,1,1,72,23,50,50,109,51,62,65,19,14,16,17,10,12,56,35,43,1,1,1,1,1,1,14,9,10,2,1,1
WELD,CENTENNIAL BOCES,146,0,146,146,2,0,2,2,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,82,0,82,82,0,0,0,0,1,0,1,1,81,0,81,81,62,0,62,62,6,1,1,4,1,2,14,5,6,0,0,0,0,0,0,1,0,0,0,0,0
LA PLATA,SAN JUAN BOCES,84,0,84,84,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,36,0,36,36,48,0,48,48,0,0,0,0,0,0,0,0,15,0,15,15,58,0,58,58,1,0,0,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0,1,0,1
DENVER,EXPEDITIONARY BOCES,402,302,100,101,40,34,6,6,16,11,5,5,37,31,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,184,141,43,44,218,161,57,57,16,11,5,5,18,9,9,9,43,31,12,12,297,233,64,65,2,2,2,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
