,county,school_dist,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
87,LAKE,LAKE COUNTY R-1,10,3,30.0,4,40.0,24,13,54.2,13,54.2,43,29,67.4,29,67.4,3,1,33.3,1,33.3,0,0,0.0,0,0.0,0,0,0.0,0,0.0,8,8,100.0,8,100.0
88,LA PLATA,DURANGO 9-R,34,22,64.7,23,67.6,5,2,40.0,2,40.0,116,67,57.8,80,69.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,0,0.0,2,66.7,49,47,95.9,48,98.0
89,LA PLATA,BAYFIELD 10 JT-R,4,4,100.0,4,100.0,1,1,100.0,1,100.0,15,12,80.0,13,86.7,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,9,9,100.0,9,100.0
90,LA PLATA,IGNACIO 11 JT,8,3,37.5,3,37.5,2,2,100.0,2,100.0,31,22,71.0,22,71.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,0,0.0,0,0.0,6,6,100.0,6,100.0
91,LARIMER,POUDRE R-1,190,110,57.9,114,60.0,121,88,72.7,88,72.7,617,448,72.6,469,76.0,4,3,75.0,3,75.0,5,1,20.0,1,20.0,113,77,68.1,81,71.7,274,268,97.8,270,98.5
92,BOULDER,THOMPSON R2-J,118,61,51.7,64,54.2,23,10,43.5,10,43.5,407,249,61.2,276,67.8,2,1,50.0,1,50.0,4,2,50.0,2,50.0,33,15,45.5,18,54.5,128,121,94.5,124,96.9
93,LARIMER,PARK (ESTES PARK) R-3,8,4,50.0,4,50.0,6,3,50.0,3,50.0,26,18,69.2,18,69.2,1,0,0.0,0,0.0,1,0,0.0,0,0.0,5,3,60.0,3,60.0,21,21,100.0,21,100.0
94,LAS ANIMAS,TRINIDAD 1,12,9,75.0,10,83.3,1,1,100.0,1,100.0,79,66,83.5,70,88.6,0,0,0.0,0,0.0,2,1,50.0,1,50.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
95,LAS ANIMAS,PRIMERO REORGANIZED 2,0,0,0.0,0,0.0,1,1,100.0,1,100.0,5,3,60.0,3,60.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
96,LAS ANIMAS,HOEHNE REORGANIZED 3,1,1,100.0,1,100.0,0,0,0.0,0,0.0,8,8,100.0,8,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0
97,LAS ANIMAS,AGUILAR REORGANIZED 6,3,0,0.0,0,0.0,0,0,0.0,0,0.0,12,6,50.0,6,50.0,0,0,0.0,0,0.0,13,7,53.8,7,53.8,1,0,0.0,0,0.0,0,0,0.0,0,0.0
98,LAS ANIMAS,BRANSON REORGANIZED 82,2,0,0.0,0,0.0,0,0,0.0,0,0.0,19,7,36.8,8,42.1,0,0,0.0,0,0.0,2,1,50.0,2,100.0,1,0,0.0,0,0.0,1,1,100.0,1,100.0
99,LAS ANIMAS,KIM REORGANIZED 88,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
100,LINCOLN,GENOA-HUGO C113,2,0,0.0,0,0.0,0,0,0.0,0,0.0,10,4,40.0,4,40.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
101,LINCOLN,LIMON RE-4J,8,6,75.0,6,75.0,1,1,100.0,1,100.0,22,18,81.8,18,81.8,0,0,0.0,0,0.0,3,2,66.7,2,66.7,1,1,100.0,1,100.0,1,1,100.0,1,100.0
102,LINCOLN,KARVAL RE-23,2,1,50.0,1,50.0,1,0,0.0,0,0.0,20,11,55.0,13,65.0,0,0,0.0,0,0.0,3,1,33.3,2,66.7,3,2,66.7,2,66.7,1,1,100.0,1,100.0
103,LOGAN,VALLEY RE-1,22,12,54.5,14,63.6,3,2,66.7,2,66.7,87,56,64.4,61,70.1,3,2,66.7,2,66.7,2,1,50.0,1,50.0,4,2,50.0,3,75.0,27,25,92.6,25,92.6
104,LOGAN,FRENCHMAN RE-3,2,2,100.0,2,100.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
105,LOGAN,BUFFALO RE-4J,2,2,100.0,2,100.0,0,0,0.0,0,0.0,10,10,100.0,10,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
106,LOGAN,PLATEAU RE-5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4,4,100.0,4,100.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
107,MESA,DE BEQUE 49JT,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4,3,75.0,3,75.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
108,MESA,PLATEAU VALLEY 50,23,5,21.7,5,21.7,5,0,0.0,0,0.0,67,17,25.4,29,43.3,0,0,0.0,0,0.0,18,7,38.9,9,50.0,3,0,0.0,0,0.0,2,1,50.0,2,100.0
109,MESA,MESA COUNTY VALLEY 51,192,111,57.8,114,59.4,100,64,64.0,66,66.0,538,365,67.8,379,70.4,16,10,62.5,10,62.5,9,4,44.4,5,55.6,65,34,52.3,38,58.5,133,129,97.0,129,97.0
110,MINERAL,CREEDE SCHOOL DISTRICT,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,1,50.0,1,50.0,0,0,0.0,0,0.0,9,8,88.9,8,88.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0
111,MOFFAT,MOFFAT COUNTY RE:NO 1,10,8,80.0,8,80.0,4,3,75.0,3,75.0,68,44,64.7,46,67.6,0,0,0.0,0,0.0,0,0,0.0,0,0.0,8,2,25.0,2,25.0,2,2,100.0,2,100.0
112,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,27,11,40.7,11,40.7,41,14,34.1,14,34.1,132,55,41.7,59,44.7,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,13,12,92.3,12,92.3
113,MONTEZUMA,DOLORES RE-4A,1,0,0.0,0,0.0,2,1,50.0,2,100.0,21,17,81.0,18,85.7,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4,4,100.0,4,100.0
114,MONTEZUMA,MANCOS RE-6,2,2,100.0,2,100.0,1,1,100.0,1,100.0,13,12,92.3,13,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0,3,3,100.0,3,100.0
115,MONTROSE,MONTROSE COUNTY RE-1J,31,13,41.9,13,41.9,54,33,61.1,33,61.1,266,187,70.3,190,71.4,9,1,11.1,2,22.2,6,1,16.7,1,16.7,19,11,57.9,11,57.9,49,47,95.9,49,100.0
116,MONTROSE,WEST END RE-2,1,1,100.0,1,100.0,0,0,0.0,0,0.0,5,3,60.0,3,60.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
117,MORGAN,BRUSH RE-2(J),10,6,60.0,7,70.0,10,8,80.0,8,80.0,61,44,72.1,50,82.0,4,3,75.0,3,75.0,2,2,100.0,2,100.0,6,2,33.3,4,66.7,7,7,100.0,7,100.0
118,MORGAN,FORT MORGAN RE-3,16,7,43.8,8,50.0,74,34,45.9,40,54.1,159,99,62.3,116,73.0,22,8,36.4,9,40.9,9,4,44.4,6,66.7,13,3,23.1,3,23.1,19,19,100.0,19,100.0
119,MORGAN,WELDON VALLEY RE-20(J),1,1,100.0,1,100.0,0,0,0.0,0,0.0,6,6,100.0,6,100.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
120,MORGAN,WIGGINS RE-50(J),1,1,100.0,1,100.0,5,1,20.0,1,20.0,28,19,67.9,19,67.9,3,1,33.3,1,33.3,43,34,79.1,34,79.1,6,4,66.7,4,66.7,3,3,100.0,3,100.0
121,OTERO,EAST OTERO R-1,13,7,53.8,7,53.8,3,2,66.7,2,66.7,78,65,83.3,69,88.5,0,0,0.0,0,0.0,22,11,50.0,14,63.6,0,0,0.0,0,0.0,2,2,100.0,2,100.0
122,OTERO,ROCKY FORD R-2,5,3,60.0,3,60.0,2,1,50.0,2,100.0,41,28,68.3,34,82.9,1,1,100.0,1,100.0,3,2,66.7,3,100.0,2,0,0.0,1,50.0,2,2,100.0,2,100.0
123,OTERO,MANZANOLA 3J,1,1,100.0,1,100.0,3,3,100.0,3,100.0,11,10,90.9,10,90.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
124,OTERO,FOWLER R-4J,2,2,100.0,2,100.0,0,0,0.0,0,0.0,12,12,100.0,12,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
125,OTERO,CHERAW 31,1,0,0.0,0,0.0,0,0,0.0,0,0.0,10,8,80.0,8,80.0,0,0,0.0,0,0.0,2,1,50.0,1,50.0,1,1,100.0,1,100.0,5,5,100.0,5,100.0
126,OTERO,SWINK 33,2,2,100.0,2,100.0,0,0,0.0,0,0.0,15,15,100.0,15,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
127,OURAY,OURAY R-1,5,4,80.0,4,80.0,3,1,33.3,1,33.3,11,8,72.7,8,72.7,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
128,OURAY,RIDGWAY R-2,3,1,33.3,2,66.7,0,0,0.0,0,0.0,6,4,66.7,5,83.3,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
129,PARK,PLATTE CANYON 1,12,8,66.7,8,66.7,0,0,0.0,0,0.0,30,20,66.7,21,70.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,1,0,0.0,0,0.0,9,7,77.8,7,77.8
130,PARK,PARK COUNTY RE-2,3,1,33.3,1,33.3,1,0,0.0,0,0.0,13,7,53.8,8,61.5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
131,PHILLIPS,HOLYOKE RE-1J,3,2,66.7,2,66.7,6,3,50.0,3,50.0,23,17,73.9,17,73.9,2,1,50.0,1,50.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
132,PHILLIPS,HAXTUN RE-2J,3,2,66.7,3,100.0,0,0,0.0,0,0.0,8,7,87.5,8,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
133,PITKIN,ASPEN 1,8,6,75.0,8,100.0,10,6,60.0,6,60.0,16,13,81.3,14,87.5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4,4,100.0,4,100.0
134,PROWERS,GRANADA RE-1,1,1,100.0,1,100.0,2,2,100.0,2,100.0,9,9,100.0,9,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,3,3,100.0,3,100.0
135,PROWERS,LAMAR RE-2,7,6,85.7,6,85.7,4,2,50.0,2,50.0,82,47,57.3,51,62.2,6,3,50.0,3,50.0,66,37,56.1,39,59.1,0,0,0.0,0,0.0,11,11,100.0,11,100.0
136,PROWERS,HOLLY RE-3,2,2,100.0,2,100.0,3,3,100.0,3,100.0,13,13,100.0,13,100.0,1,1,100.0,1,100.0,2,2,100.0,2,100.0,0,0,0.0,0,0.0,4,4,100.0,4,100.0
137,PROWERS,WILEY RE-13 JT,0,0,0.0,0,0.0,0,0,0.0,0,0.0,11,7,63.6,7,63.6,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
138,PUEBLO,PUEBLO CITY 60,127,36,28.3,38,29.9,72,43,59.7,44,61.1,876,490,55.9,538,61.4,4,3,75.0,3,75.0,65,6,9.2,16,24.6,119,60,50.4,67,56.3,139,125,89.9,128,92.1
139,PUEBLO,PUEBLO COUNTY 70,44,27,61.4,29,65.9,11,4,36.4,6,54.5,287,218,76.0,238,82.9,4,3,75.0,3,75.0,10,3,30.0,6,60.0,9,4,44.4,5,55.6,84,78,92.9,82,97.6
140,RIO BLANCO,MEEKER RE1,2,2,100.0,2,100.0,1,1,100.0,1,100.0,9,8,88.9,8,88.9,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,6,6,100.0,6,100.0
141,RIO BLANCO,RANGELY RE-4,3,3,100.0,3,100.0,1,1,100.0,1,100.0,6,5,83.3,5,83.3,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
142,RIO GRANDE,DEL NORTE C-7,5,5,100.0,5,100.0,2,1,50.0,1,50.0,26,21,80.8,22,84.6,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
143,RIO GRANDE,MONTE VISTA C-8,6,2,33.3,2,33.3,7,5,71.4,5,71.4,74,45,60.8,55,74.3,6,3,50.0,4,66.7,2,2,100.0,2,100.0,3,1,33.3,2,66.7,2,2,100.0,2,100.0
144,RIO GRANDE,SARGENT RE-33J,0,0,0.0,0,0.0,0,0,0.0,0,0.0,15,13,86.7,15,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4,3,75.0,4,100.0
145,ROUTT,HAYDEN RE-1,7,6,85.7,6,85.7,0,0,0.0,0,0.0,8,7,87.5,7,87.5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
146,ROUTT,STEAMBOAT SPRINGS RE-2,22,11,50.0,11,50.0,9,5,55.6,5,55.6,24,15,62.5,15,62.5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,30,29,96.7,30,100.0
147,ROUTT,SOUTH ROUTT RE 3,4,4,100.0,4,100.0,0,0,0.0,0,0.0,12,12,100.0,12,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
148,SAGUACHE,MOUNTAIN VALLEY RE 1,1,1,100.0,1,100.0,0,0,0.0,0,0.0,8,7,87.5,7,87.5,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0
149,SAGUACHE,MOFFAT 2,2,2,100.0,2,100.0,0,0,0.0,0,0.0,14,12,85.7,12,85.7,0,0,0.0,0,0.0,13,12,92.3,12,92.3,4,3,75.0,3,75.0,1,1,100.0,1,100.0
150,SAGUACHE,CENTER 26 JT,6,3,50.0,3,50.0,10,6,60.0,6,60.0,36,27,75.0,27,75.0,6,3,50.0,3,50.0,8,5,62.5,5,62.5,3,2,66.7,2,66.7,1,1,100.0,1,100.0
151,SAN JUAN,SILVERTON 1,0,0,0.0,0,0.0,1,1,100.0,1,100.0,2,2,100.0,2,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0
152,SAN MIGUEL,TELLURIDE R-1,5,2,40.0,4,80.0,4,2,50.0,2,50.0,5,3,60.0,3,60.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,5,5,100.0,5,100.0
153,SAN MIGUEL,NORWOOD R-2J,0,0,0.0,0,0.0,1,1,100.0,1,100.0,5,5,100.0,5,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
154,SEDGWICK,JULESBURG RE-1,44,3,6.8,6,13.6,14,1,7.1,4,28.6,219,33,15.1,62,28.3,2,0,0.0,0,0.0,39,1,2.6,6,15.4,18,3,16.7,4,22.2,16,8,50.0,9,56.3
155,SEDGWICK,PLATTE VALLEY RE-3,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
156,SUMMIT,SUMMIT RE-1,27,17,63.0,17,63.0,45,27,60.0,28,62.2,74,50,67.6,53,71.6,2,2,100.0,2,100.0,2,0,0.0,0,0.0,2,0,0.0,0,0.0,33,33,100.0,33,100.0
157,TELLER,CRIPPLE CREEK-VICTOR RE-1,4,2,50.0,2,50.0,0,0,0.0,0,0.0,34,24,70.6,25,73.5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,13,9,69.2,9,69.2,2,1,50.0,1,50.0
158,TELLER,WOODLAND PARK RE-2,15,13,86.7,14,93.3,3,2,66.7,2,66.7,61,47,77.0,53,86.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,1,100.0,10,10,100.0,10,100.0
159,WASHINGTON,AKRON R-1,4,3,75.0,3,75.0,1,1,100.0,1,100.0,17,16,94.1,16,94.1,1,1,100.0,1,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0
160,WASHINGTON,ARICKAREE R-2,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
161,WASHINGTON,OTIS R-3,0,0,0.0,0,0.0,0,0,0.0,0,0.0,6,6,100.0,6,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,6,6,100.0,6,100.0
162,WASHINGTON,LONE STAR 101,3,1,33.3,1,33.3,0,0,0.0,0,0.0,6,5,83.3,5,83.3,0,0,0.0,0,0.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
163,WASHINGTON,WOODLIN R-104,0,0,0.0,0,0.0,1,1,100.0,1,100.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,6,6,100.0,6,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
164,WELD,WELD COUNTY RE-1,14,10,71.4,11,78.6,15,9,60.0,9,60.0,54,38,70.4,40,74.1,4,2,50.0,2,50.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,11,11,100.0,11,100.0
165,WELD,EATON RE-2,2,1,50.0,1,50.0,3,2,66.7,2,66.7,26,21,80.8,22,84.6,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0,13,13,100.0,13,100.0
166,WELD,KEENESBURG RE-3(J),12,9,75.0,9,75.0,20,19,95.0,19,95.0,65,59,90.8,59,90.8,5,5,100.0,5,100.0,1,0,0.0,0,0.0,5,4,80.0,4,80.0,8,8,100.0,8,100.0
167,WELD,WINDSOR RE-4,23,15,65.2,15,65.2,4,2,50.0,2,50.0,57,45,78.9,47,82.5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,5,2,40.0,2,40.0,34,33,97.1,34,100.0
168,WELD,JOHNSTOWN-MILLIKEN RE-5J,8,7,87.5,7,87.5,15,10,66.7,11,73.3,69,43,62.3,50,72.5,2,1,50.0,1,50.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0,5,5,100.0,5,100.0
169,WELD,GREELEY 6,148,93,62.8,97,65.5,201,149,74.1,150,74.6,794,571,71.9,600,75.6,43,34,79.1,34,79.1,85,47,55.3,48,56.5,76,47,61.8,50,65.8,146,140,95.9,143,97.9
170,WELD,PLATTE VALLEY RE-7,6,5,83.3,5,83.3,6,5,83.3,5,83.3,48,40,83.3,41,85.4,3,2,66.7,2,66.7,0,0,0.0,0,0.0,4,2,50.0,3,75.0,5,5,100.0,5,100.0
171,WELD,WELD COUNTY S/D RE-8,18,8,44.4,9,50.0,53,43,81.1,44,83.0,104,76,73.1,82,78.8,15,10,66.7,12,80.0,3,0,0.0,0,0.0,7,4,57.1,4,57.1,3,3,100.0,3,100.0
172,WELD,AULT-HIGHLAND RE-9,7,7,100.0,7,100.0,7,7,100.0,7,100.0,37,35,94.6,37,100.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,5,5,100.0,5,100.0,4,4,100.0,4,100.0
173,WELD,BRIGGSDALE RE-10,1,1,100.0,1,100.0,0,0,0.0,0,0.0,8,8,100.0,8,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
174,WELD,PRAIRIE RE-11,1,1,100.0,1,100.0,0,0,0.0,0,0.0,6,6,100.0,6,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
175,WELD,PAWNEE RE-12,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0,0,0,0.0,0,0.0,9,9,100.0,9,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
176,YUMA,YUMA 1,1,0,0.0,0,0.0,15,12,80.0,12,80.0,30,25,83.3,26,86.7,2,1,50.0,1,50.0,11,8,72.7,8,72.7,4,1,25.0,1,25.0,5,5,100.0,5,100.0
177,YUMA,WRAY RD-2,6,5,83.3,5,83.3,4,3,75.0,3,75.0,19,16,84.2,16,84.2,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4,4,100.0,4,100.0
178,YUMA,IDALIA RJ-3,1,1,100.0,1,100.0,0,0,0.0,0,0.0,8,8,100.0,8,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
179,YUMA,LIBERTY J-4,1,1,100.0,1,100.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
180,DENVER,CHARTER SCHOOL INSTITUTE,111,16,14.4,17,15.3,141,31,22.0,34,24.1,760,166,21.8,185,24.3,10,3,30.0,3,30.0,747,176,23.6,195,26.1,121,11,9.1,11,9.1,47,23,48.9,27,57.4
181,CHAFFEE,MOUNTAIN BOCES,19,14,73.7,16,84.2,17,10,58.8,12,70.6,56,35,62.5,43,76.8,1,1,100.0,1,100.0,1,1,100.0,1,100.0,14,9,64.3,10,71.4,2,1,50.0,1,50.0
182,WELD,CENTENNIAL BOCES,6,1,16.7,1,16.7,4,1,25.0,2,50.0,14,5,35.7,6,42.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0
183,LA PLATA,SAN JUAN BOCES,1,0,0.0,0,0.0,1,1,100.0,1,100.0,4,1,25.0,3,75.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,1,100.0
184,DENVER,EXPEDITIONARY BOCES,2,2,100.0,2,100.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
