,county,school_dist,total_pupil_count,total_stable_student_count,total_stability_rate,total_mobile_student_count,total_student_mobility_rate,total_instances_of_mobility,total_mobility_incidence_rate,total_female_pupil_count,total_female_stable_student_count,total_female_stability_rate,total_female_mobile_student_count,total_female_student_mobility_rate,total_female_instances_of_mobility,total_female_mobility_incidence_rate,total_male_pupil_count,total_male_stable_student_count,total_male_stability_rate,total_male_mobile_student_count,total_male_student_mobility_rate,total_male_instances_of_mobility,total_male_mobility_incidence_rate,total_american_indian_or_alaska_native_pupil_count,total_american_indian_or_alaska_native_stable_student_count,total_american_indian_or_alaska_native_stability_rate,total_american_indian_or_alaska_native_mobile_student_count,total_american_indian_or_alaska_native_student_mobility_rate,total_american_indian_or_alaska_native_instances_of_mobility,total_american_indian_or_alaska_native_mobility_incidence_rate,total_asian_pupil_count,total_asian_stable_student_count,total_asian_stability_rate,total_asian_mobile_student_count,total_asian_student_mobility_rate,total_asian_instances_of_mobility,total_asian_mobility_incidence_rate,total_black_or_african_american_pupil_count,total_black_or_african_american_stable_student_count,total_black_or_african_american_stability_rate,total_black_or_african_american_mobile_student_count,total_black_or_african_american_student_mobility_rate,total_black_or_african_american_instances_of_mobility,total_black_or_african_american_mobility_incidence_rate,total_hispanic_or_latino_pupil_count,total_hispanic_or_latino_stable_student_count,total_hispanic_or_latino_stability_rate,total_hispanic_or_latino_mobile_student_count,total_hispanic_or_latino_student_mobility_rate,total_hispanic_or_latino_instances_of_mobility,total_hispanic_or_latino_mobility_incidence_rate,total_white_pupil_count,total_white_stable_student_count,total_white_stability_rate,total_white_mobile_student_count,total_white_student_mobility_rate,total_white_instances_of_mobility,total_white_mobility_incidence_rate,total_native_hawaiian_or_other_pacific_islander_pupil_count,total_native_hawaiian_or_other_pacific_islander_stable_student_count,total_native_hawaiian_or_other_pacific_islander_stability_rate,total_native_hawaiian_or_other_pacific_islander_mobile_student_count,total_native_hawaiian_or_other_pacific_islander_student_mobility_rate,total_native_hawaiian_or_other_pacific_islander_instances_of_mobility,total_native_hawaiian_or_other_pacific_islander_mobility_incidence_rate,total_two_or_more_races_pupil_count,total_two_or_more_races_stable_student_count,total_two_or_more_races_stability_rate,total_two_or_more_races_mobile_student_count,total_two_or_more_races_student_mobility_rate,total_two_or_more_races_instances_of_mobility,total_two_or_more_races_mobility_incidence_rate
52,EL PASO,WIDEFIELD 3,10617,7215,68,3380,31.8,3687,34.7,5176,3514,67.9,1651,31.9,1792,34.6,5441,3701,68,1729,31.8,1895,34.8,115,72,62.6,43,37.4,46,40,150,109,72.7,41,27.3,43,28.7,1201,768,63.9,431,35.9,473,39.4,2665,1825,68.5,835,31.3,925,34.7,5552,3802,68.5,1735,31.3,1878,33.8,157,97,61.8,60,38.2,65,41.4,777,542,69.8,235,30.2,257,33.1
53,EL PASO,FOUNTAIN 8,9827,5302,54,4489,45.7,4738,48.2,4718,2475,52.5,2225,47.2,2351,49.8,5109,2827,55.3,2264,44.3,2387,46.7,98,48,49,50,51,54,55.1,178,85,47.8,89,50,97,54.5,1363,719,52.8,635,46.6,659,48.3,2162,1213,56.1,941,43.5,988,45.7,5273,2803,53.2,2456,46.6,2609,49.5,78,36,46.2,42,53.8,42,53.8,675,398,59,276,40.9,289,42.8
54,EL PASO,COLORADO SPRINGS 11,34548,23868,69.1,10560,30.6,12693,36.7,16867,11741,69.6,5070,30.1,6105,36.2,17681,12127,68.6,5490,31.1,6588,37.3,346,213,61.6,133,38.4,170,49.1,641,453,70.7,186,29,215,33.5,2709,1555,57.4,1140,42.1,1384,51.1,10087,6925,68.7,3116,30.9,3828,37.9,18129,12880,71,5203,28.7,6179,34.1,108,67,62,41,38,47,43.5,2528,1775,70.2,741,29.3,870,34.4
55,EL PASO,CHEYENNE MOUNTAIN 12,5059,3785,74.8,1274,25.2,1300,25.7,2511,1872,74.6,639,25.4,652,26,2548,1913,75.1,635,24.9,648,25.4,37,22,59.5,15,40.5,15,40.5,170,134,78.8,36,21.2,36,21.2,146,88,60.3,58,39.7,58,39.7,704,472,67,232,33,233,33.1,3798,2923,77,875,23,899,23.7,13,10,76.9,3,23.1,3,23.1,191,136,71.2,55,28.8,56,29.3
56,EL PASO,MANITOU SPRINGS 14,1682,1146,68.1,537,31.9,537,31.9,818,559,68.3,260,31.8,260,31.8,864,587,67.9,277,32.1,277,32.1,15,7,46.7,8,53.3,8,53.3,16,11,68.8,5,31.3,5,31.3,6,5,83.3,1,16.7,1,16.7,158,117,74.1,41,25.9,41,25.9,1406,958,68.1,449,31.9,449,31.9,1,0,0,1,100,1,100,80,48,60,32,40,32,40
57,EL PASO,ACADEMY 20,25881,20007,77.3,5853,22.6,6077,23.5,12613,9738,77.2,2865,22.7,2968,23.5,13268,10269,77.4,2988,22.5,3109,23.4,111,85,76.6,26,23.4,29,26.1,954,742,77.8,212,22.2,222,23.3,843,559,66.3,283,33.6,296,35.1,3151,2266,71.9,883,28,914,29,19372,15316,79.1,4038,20.8,4189,21.6,110,79,71.8,31,28.2,31,28.2,1340,960,71.6,380,28.4,396,29.6
58,EL PASO,ELLICOTT 22,1233,736,59.7,496,40.2,506,41,582,344,59.1,237,40.7,241,41.4,651,392,60.2,259,39.8,265,40.7,3,2,66.7,1,33.3,1,33.3,5,0,0,5,100,5,100,31,8,25.8,23,74.2,24,77.4,256,182,71.1,74,28.9,75,29.3,891,515,57.8,375,42.1,382,42.9,0,0,0,0,0,0,0,47,29,61.7,18,38.3,19,40.4
59,EL PASO,PEYTON 23 JT,734,562,76.6,172,23.4,182,24.8,349,266,76.2,83,23.8,86,24.6,385,296,76.9,89,23.1,96,24.9,16,14,87.5,2,12.5,2,12.5,5,3,60,2,40,2,40,6,2,33.3,4,66.7,4,66.7,67,42,62.7,25,37.3,28,41.8,621,495,79.7,126,20.3,132,21.3,0,0,0,0,0,0,0,19,6,31.6,13,68.4,14,73.7
60,EL PASO,HANOVER 28,292,143,49,149,51,154,52.7,152,74,48.7,78,51.3,82,53.9,140,69,49.3,71,50.7,72,51.4,5,4,80,1,20,1,20,3,0,0,3,100,3,100,9,0,0,9,100,9,100,114,65,57,49,43,53,46.5,160,74,46.3,86,53.8,87,54.4,0,0,0,0,0,0,0,1,0,0,1,100,1,100
61,EL PASO,LEWIS-PALMER 38,6422,5105,79.5,1312,20.4,1365,21.3,3062,2407,78.6,652,21.3,682,22.3,3360,2698,80.3,660,19.6,683,20.3,43,40,93,3,7,3,7,182,145,79.7,37,20.3,38,20.9,67,44,65.7,23,34.3,23,34.3,621,476,76.7,145,23.3,151,24.3,5241,4176,79.7,1060,20.2,1104,21.1,10,7,70,3,30,3,30,258,217,84.1,41,15.9,43,16.7
62,EL PASO,FALCON 49,17388,12379,71.2,5031,28.9,5301,30.5,8375,5938,70.9,2461,29.4,2577,30.8,9013,6441,71.5,2570,28.5,2724,30.2,113,87,77,26,23,29,25.7,552,448,81.2,105,19,108,19.6,1272,834,65.6,441,34.7,469,36.9,3122,2143,68.6,986,31.6,1037,33.2,11226,8160,72.7,3081,27.4,3233,28.8,74,46,62.2,25,33.8,33,44.6,1029,661,64.2,367,35.7,392,38.1
63,EL PASO,EDISON 54 JT,214,141,65.9,73,34.1,74,34.6,109,74,67.9,35,32.1,35,32.1,105,67,63.8,38,36.2,39,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,64.3,5,35.7,5,35.7,200,132,66,68,34,69,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,EL PASO,MIAMI/YODER 60 JT,357,193,54.1,164,45.9,169,47.3,175,95,54.3,80,45.7,81,46.3,182,98,53.8,84,46.2,88,48.4,6,2,33.3,4,66.7,4,66.7,0,0,0,0,0,0,0,3,0,0,3,100,3,100,51,28,54.9,23,45.1,23,45.1,279,151,54.1,128,45.9,133,47.7,0,0,0,0,0,0,0,18,12,66.7,6,33.3,6,33.3
65,FREMONT,CANON CITY RE-1,4271,3211,75.2,1037,24.3,1129,26.4,2114,1609,76.1,493,23.3,536,25.4,2157,1602,74.3,544,25.2,593,27.5,37,23,62.2,14,37.8,14,37.8,26,21,80.8,5,19.2,5,19.2,29,22,75.9,7,24.1,7,24.1,532,370,69.5,159,29.9,171,32.1,3536,2694,76.2,822,23.2,898,25.4,11,8,72.7,3,27.3,4,36.4,100,73,73,27,27,30,30
66,FREMONT,FREMONT RE-2,1866,1314,70.4,551,29.5,595,31.9,915,647,70.7,268,29.3,287,31.4,951,667,70.1,283,29.8,308,32.4,14,6,42.9,8,57.1,8,57.1,8,7,87.5,1,12.5,1,12.5,8,8,100,0,0,0,0,257,190,73.9,67,26.1,70,27.2,1505,1057,70.2,447,29.7,488,32.4,3,1,33.3,2,66.7,2,66.7,71,45,63.4,26,36.6,26,36.6
67,FREMONT,COTOPAXI RE-3,235,167,71.1,68,28.9,69,29.4,109,82,75.2,27,24.8,27,24.8,126,85,67.5,41,32.5,42,33.3,2,1,50,1,50,1,50,1,1,100,0,0,0,0,0,0,0,0,0,0,0,19,12,63.2,7,36.8,7,36.8,206,149,72.3,57,27.7,58,28.2,0,0,0,0,0,0,0,7,4,57.1,3,42.9,3,42.9
68,GARFIELD,ROARING FORK RE-1,5742,4569,79.6,1160,20.2,1281,22.3,2765,2205,79.7,554,20,606,21.9,2977,2364,79.4,606,20.4,675,22.7,22,19,86.4,3,13.6,3,13.6,51,44,86.3,7,13.7,7,13.7,12,4,33.3,8,66.7,8,66.7,2922,2362,80.8,551,18.9,632,21.6,2617,2054,78.5,559,21.4,596,22.8,3,1,33.3,2,66.7,2,66.7,115,85,73.9,30,26.1,33,28.7
69,GARFIELD,GARFIELD RE-2,5185,3942,76,1235,23.8,1322,25.5,2494,1919,76.9,571,22.9,613,24.6,2691,2023,75.2,664,24.7,709,26.3,36,22,61.1,14,38.9,14,38.9,25,13,52,12,48,12,48,22,10,45.5,12,54.5,12,54.5,2187,1721,78.7,463,21.2,504,23,2833,2114,74.6,715,25.2,760,26.8,4,4,100,0,0,0,0,78,58,74.4,19,24.4,20,25.6
70,GARFIELD,GARFIELD 16,1275,854,67,423,33.2,454,35.6,597,406,68,192,32.2,210,35.2,678,448,66.1,231,34.1,244,36,25,15,60,10,40,11,44,2,1,50,1,50,1,50,4,0,0,4,100,4,100,416,294,70.7,123,29.6,132,31.7,777,499,64.2,279,35.9,299,38.5,3,3,100,0,0,0,0,48,42,87.5,6,12.5,7,14.6
71,GILPIN,GILPIN COUNTY RE-1,416,288,69.2,128,30.8,135,32.5,200,144,72,56,28,60,30,216,144,66.7,72,33.3,75,34.7,1,0,0,1,100,1,100,7,6,85.7,1,14.3,1,14.3,5,1,20,4,80,6,120,48,30,62.5,18,37.5,19,39.6,337,242,71.8,95,28.2,98,29.1,2,0,0,2,100,2,100,16,9,56.3,7,43.8,8,50
72,GRAND,WEST GRAND 1-JT.,476,380,79.8,96,20.2,101,21.2,229,173,75.5,56,24.5,61,26.6,247,207,83.8,40,16.2,40,16.2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,79,83.2,16,16.8,16,16.8,368,290,78.8,78,21.2,83,22.6,2,2,100,0,0,0,0,10,8,80,2,20,2,20
73,GRAND,EAST GRAND 2,1398,1080,77.3,315,22.5,335,24,678,531,78.3,145,21.4,154,22.7,720,549,76.3,170,23.6,181,25.1,9,4,44.4,5,55.6,5,55.6,7,5,71.4,2,28.6,2,28.6,11,5,45.5,5,45.5,7,63.6,149,105,70.5,43,28.9,49,32.9,1204,948,78.7,255,21.2,267,22.2,12,8,66.7,4,33.3,4,33.3,6,5,83.3,1,16.7,1,16.7
74,GUNNISON,GUNNISON WATERSHED RE1J,1936,1552,80.2,384,19.8,424,21.9,955,755,79.1,200,20.9,219,22.9,981,797,81.2,184,18.8,205,20.9,13,8,61.5,5,38.5,6,46.2,8,7,87.5,1,12.5,1,12.5,2,1,50,1,50,1,50,290,235,81,55,19,60,20.7,1580,1273,80.6,307,19.4,340,21.5,6,2,33.3,4,66.7,4,66.7,37,26,70.3,11,29.7,12,32.4
75,HINSDALE,HINSDALE COUNTY RE 1,93,69,74.2,24,25.8,24,25.8,42,31,73.8,11,26.2,11,26.2,51,38,74.5,13,25.5,13,25.5,1,0,0,1,100,1,100,2,1,50,1,50,1,50,1,0,0,1,100,1,100,7,3,42.9,4,57.1,4,57.1,81,65,80.2,16,19.8,16,19.8,0,0,0,0,0,0,0,1,0,0,1,100,1,100
76,HUERFANO,HUERFANO RE-1,614,438,71.3,176,28.7,190,30.9,301,212,70.4,89,29.6,95,31.6,313,226,72.2,87,27.8,95,30.4,19,15,78.9,4,21.1,4,21.1,4,2,50,2,50,2,50,7,1,14.3,6,85.7,6,85.7,394,311,78.9,83,21.1,89,22.6,184,108,58.7,76,41.3,84,45.7,2,0,0,2,100,2,100,4,1,25,3,75,3,75
77,HUERFANO,LA VETA RE-2,262,169,64.5,92,35.1,96,36.6,135,90,66.7,44,32.6,47,34.8,127,79,62.2,48,37.8,49,38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,50,61,31,37.8,32,39,177,118,66.7,59,33.3,62,35,0,0,0,0,0,0,0,3,1,33.3,2,66.7,2,66.7
78,JACKSON,NORTH PARK R-1 ,205,151,73.7,54,26.3,60,29.3,105,78,74.3,27,25.7,30,28.6,100,73,73,27,27,30,30,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,36,83.7,7,16.3,8,18.6,156,114,73.1,42,26.9,47,30.1,0,0,0,0,0,0,0,5,1,20,4,80,4,80
79,JEFFERSON,JEFFERSON COUNTY R-1,90678,74398,82,16049,17.7,17618,19.4,44122,36303,82.3,7721,17.5,8426,19.1,46556,38095,81.8,8328,17.9,9192,19.7,725,536,73.9,185,25.5,207,28.6,2797,2324,83.1,472,16.9,515,18.4,1146,753,65.7,387,33.8,421,36.7,22211,16654,75,5472,24.6,6065,27.3,60676,51569,85,8980,14.8,9802,16.2,171,124,72.5,47,27.5,50,29.2,2952,2438,82.6,506,17.1,558,18.9
80,KIOWA,EADS RE-1,192,139,72.4,53,27.6,53,27.6,87,57,65.5,30,34.5,30,34.5,105,82,78.1,23,21.9,23,21.9,2,1,50,1,50,1,50,2,0,0,2,100,2,100,4,1,25,3,75,3,75,23,17,73.9,6,26.1,6,26.1,158,117,74.1,41,25.9,41,25.9,3,3,100,0,0,0,0,0,0,0,0,0,0,0
81,KIOWA,PLAINVIEW RE-2,98,56,57.1,42,42.9,43,43.9,47,27,57.4,20,42.6,21,44.7,51,29,56.9,22,43.1,22,43.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,1,100,14,6,42.9,8,57.1,8,57.1,82,49,59.8,33,40.2,34,41.5,0,0,0,0,0,0,0,1,1,100,0,0,0,0
82,KIT CARSON,ARRIBA-FLAGLER C-20,164,129,78.7,35,21.3,37,22.6,71,56,78.9,15,21.1,17,23.9,93,73,78.5,20,21.5,20,21.5,0,0,0,0,0,0,0,1,0,0,1,100,1,100,1,1,100,0,0,0,0,8,3,37.5,5,62.5,7,87.5,151,123,81.5,28,18.5,28,18.5,2,2,100,0,0,0,0,1,0,0,1,100,1,100
83,KIT CARSON,HI-PLAINS R-23,125,93,74.4,32,25.6,32,25.6,62,47,75.8,15,24.2,15,24.2,63,46,73,17,27,17,27,2,2,100,0,0,0,0,0,0,0,0,0,0,0,3,3,100,0,0,0,0,18,14,77.8,4,22.2,4,22.2,102,74,72.5,28,27.5,28,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,KIT CARSON,STRATTON R-4,189,128,67.7,61,32.3,61,32.3,88,57,64.8,31,35.2,31,35.2,101,71,70.3,30,29.7,30,29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,23,65.7,12,34.3,12,34.3,154,105,68.2,49,31.8,49,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,KIT CARSON,BETHUNE R-5,156,99,63.5,57,36.5,57,36.5,71,39,54.9,32,45.1,32,45.1,85,60,70.6,25,29.4,25,29.4,0,0,0,0,0,0,0,2,1,50,1,50,1,50,0,0,0,0,0,0,0,54,37,68.5,17,31.5,17,31.5,100,61,61,39,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,KIT CARSON,BURLINGTON RE-6J,845,643,76.1,202,23.9,208,24.6,418,317,75.8,101,24.2,103,24.6,427,326,76.3,101,23.7,105,24.6,6,3,50,3,50,3,50,3,2,66.7,1,33.3,1,33.3,9,9,100,0,0,0,0,314,247,78.7,67,21.3,71,22.6,506,378,74.7,128,25.3,130,25.7,0,0,0,0,0,0,0,7,4,57.1,3,42.9,3,42.9
87,LAKE,LAKE COUNTY R-1,1246,930,74.6,316,25.4,336,27,616,460,74.7,156,25.3,168,27.3,630,470,74.6,160,25.4,168,26.7,31,5,16.1,26,83.9,27,87.1,1,0,0,1,100,1,100,3,1,33.3,2,66.7,2,66.7,843,656,77.8,187,22.2,202,24,352,253,71.9,99,28.1,103,29.3,0,0,0,0,0,0,0,16,15,93.8,1,6.3,1,6.3
88,LA PLATA,DURANGO 9-R,5088,3806,74.8,1273,25,1348,26.5,2489,1896,76.2,590,23.7,631,25.4,2599,1910,73.5,683,26.3,717,27.6,295,197,66.8,96,32.5,108,36.6,55,40,72.7,15,27.3,15,27.3,35,19,54.3,16,45.7,16,45.7,883,622,70.4,256,29,282,31.9,3735,2869,76.8,864,23.1,900,24.1,5,4,80,1,20,1,20,80,55,68.8,25,31.3,26,32.5
89,LA PLATA,BAYFIELD 10 JT-R,1569,1161,74,412,26.3,438,27.9,771,573,74.3,200,25.9,212,27.5,798,588,73.7,212,26.6,226,28.3,49,30,61.2,20,40.8,22,44.9,5,4,80,1,20,1,20,3,1,33.3,2,66.7,2,66.7,221,141,63.8,80,36.2,88,39.8,1246,960,77,289,23.2,305,24.5,1,0,0,1,100,1,100,44,25,56.8,19,43.2,19,43.2
90,LA PLATA,IGNACIO 11 JT,877,615,70.1,261,29.8,288,32.8,410,286,69.8,124,30.2,140,34.1,467,329,70.4,137,29.3,148,31.7,243,157,64.6,86,35.4,96,39.5,3,1,33.3,2,66.7,2,66.7,5,5,100,0,0,0,0,274,201,73.4,73,26.6,80,29.2,300,222,74,77,25.7,85,28.3,0,0,0,0,0,0,0,52,29,55.8,23,44.2,25,48.1
91,LARIMER,POUDRE R-1,29031,24159,83.2,4808,16.6,5476,18.9,14257,11876,83.3,2348,16.5,2675,18.8,14774,12283,83.1,2460,16.7,2801,19,163,125,76.7,38,23.3,50,30.7,979,762,77.8,217,22.2,254,25.9,406,297,73.2,107,26.4,128,31.5,4995,3984,79.8,996,19.9,1199,24,21515,18202,84.6,3269,15.2,3637,16.9,35,29,82.9,6,17.1,6,17.1,938,760,81,175,18.7,202,21.5
92,BOULDER,THOMPSON R2-J,16906,13276,78.5,3565,21.1,3885,23,8189,6457,78.8,1704,20.8,1845,22.5,8717,6819,78.2,1861,21.3,2040,23.4,103,75,72.8,28,27.2,30,29.1,250,196,78.4,54,21.6,57,22.8,168,113,67.3,55,32.7,60,35.7,3104,2335,75.2,757,24.4,829,26.7,12918,10278,79.6,2587,20,2812,21.8,37,26,70.3,11,29.7,11,29.7,326,253,77.6,73,22.4,86,26.4
93,LARIMER,PARK (ESTES PARK) R-3,1272,972,76.4,295,23.2,308,24.2,585,457,78.1,127,21.7,131,22.4,687,515,75,168,24.5,177,25.8,12,7,58.3,5,41.7,5,41.7,19,15,78.9,4,21.1,4,21.1,13,13,100,0,0,0,0,270,203,75.2,67,24.8,69,25.6,931,721,77.4,205,22,216,23.2,7,2,28.6,5,71.4,5,71.4,20,11,55,9,45,9,45
94,LAS ANIMAS,TRINIDAD 1,1594,1163,73,430,27,463,29,809,595,73.5,213,26.3,225,27.8,785,568,72.4,217,27.6,238,30.3,27,16,59.3,11,40.7,11,40.7,23,19,82.6,4,17.4,4,17.4,17,9,52.9,8,47.1,8,47.1,1039,788,75.8,250,24.1,274,26.4,479,325,67.8,154,32.2,163,34,1,1,100,0,0,0,0,8,5,62.5,3,37.5,3,37.5
95,LAS ANIMAS,PRIMERO REORGANIZED 2,239,115,48.1,124,51.9,124,51.9,111,57,51.4,54,48.6,54,48.6,128,58,45.3,70,54.7,70,54.7,2,0,0,2,100,2,100,1,1,100,0,0,0,0,3,0,0,3,100,3,100,92,50,54.3,42,45.7,42,45.7,141,64,45.4,77,54.6,77,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,LAS ANIMAS,HOEHNE REORGANIZED 3,376,270,71.8,106,28.2,106,28.2,181,127,70.2,54,29.8,54,29.8,195,143,73.3,52,26.7,52,26.7,0,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,0,160,114,71.3,46,28.8,46,28.8,207,151,72.9,56,27.1,56,27.1,1,0,0,1,100,1,100,6,3,50,3,50,3,50
97,LAS ANIMAS,AGUILAR REORGANIZED 6,123,56,45.5,66,53.7,69,56.1,55,27,49.1,28,50.9,28,50.9,68,29,42.6,38,55.9,41,60.3,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,31,48.4,32,50,34,53.1,58,25,43.1,33,56.9,34,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,LAS ANIMAS,BRANSON REORGANIZED 82,600,220,36.7,380,63.3,385,64.2,339,122,36,217,64,220,64.9,261,98,37.5,163,62.5,165,63.2,8,3,37.5,5,62.5,5,62.5,4,1,25,3,75,3,75,28,7,25,21,75,21,75,147,46,31.3,101,68.7,101,68.7,388,151,38.9,237,61.1,240,61.9,2,1,50,1,50,2,100,23,11,47.8,12,52.2,13,56.5
99,LAS ANIMAS,KIM REORGANIZED 88,61,47,77,14,23,14,23,29,23,79.3,6,20.7,6,20.7,32,24,75,8,25,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,45.5,6,54.5,6,54.5,50,42,84,8,16,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,LINCOLN,GENOA-HUGO C113,190,134,70.5,56,29.5,58,30.5,89,65,73,24,27,25,28.1,101,69,68.3,32,31.7,33,32.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50,2,50,3,75,8,3,37.5,5,62.5,5,62.5,178,129,72.5,49,27.5,50,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,LINCOLN,LIMON RE-4J,542,369,68.1,173,31.9,177,32.7,268,184,68.7,84,31.3,84,31.3,274,185,67.5,89,32.5,93,33.9,6,4,66.7,2,33.3,2,33.3,5,3,60,2,40,2,40,14,10,71.4,4,28.6,4,28.6,51,34,66.7,17,33.3,17,33.3,455,309,67.9,146,32.1,150,33,2,1,50,1,50,1,50,9,8,88.9,1,11.1,1,11.1
102,LINCOLN,KARVAL RE-23,265,93,35.1,172,64.9,176,66.4,127,48,37.8,79,62.2,81,63.8,138,45,32.6,93,67.4,95,68.8,3,1,33.3,2,66.7,2,66.7,5,3,60,2,40,2,40,6,2,33.3,4,66.7,4,66.7,22,5,22.7,17,77.3,17,77.3,229,82,35.8,147,64.2,151,65.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,LOGAN,VALLEY RE-1,2501,1916,76.6,583,23.3,630,25.2,1195,911,76.2,283,23.7,309,25.9,1306,1005,77,300,23,321,24.6,21,13,61.9,8,38.1,9,42.9,17,10,58.8,7,41.2,7,41.2,20,10,50,10,50,11,55,638,490,76.8,147,23,160,25.1,1732,1341,77.4,390,22.5,421,24.3,4,4,100,0,0,0,0,69,48,69.6,21,30.4,22,31.9
104,LOGAN,FRENCHMAN RE-3,196,153,78.1,43,21.9,44,22.4,102,79,77.5,23,22.5,24,23.5,94,74,78.7,20,21.3,20,21.3,0,0,0,0,0,0,0,2,1,50,1,50,1,50,1,0,0,1,100,1,100,24,19,79.2,5,20.8,5,20.8,167,131,78.4,36,21.6,37,22.2,0,0,0,0,0,0,0,2,2,100,0,0,0,0
105,LOGAN,BUFFALO RE-4J,339,279,82.3,60,17.7,60,17.7,162,136,84,26,16,26,16,177,143,80.8,34,19.2,34,19.2,3,3,100,0,0,0,0,4,2,50,2,50,2,50,10,10,100,0,0,0,0,30,22,73.3,8,26.7,8,26.7,288,238,82.6,50,17.4,50,17.4,0,0,0,0,0,0,0,4,4,100,0,0,0,0
106,LOGAN,PLATEAU RE-5,192,151,78.6,41,21.4,42,21.9,77,58,75.3,19,24.7,19,24.7,115,93,80.9,22,19.1,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,33.3,4,66.7,4,66.7,183,146,79.8,37,20.2,38,20.8,0,0,0,0,0,0,0,3,3,100,0,0,0,0
107,MESA,DE BEQUE 49JT,149,73,49,76,51,81,54.4,59,29,49.2,30,50.8,32,54.2,90,44,48.9,46,51.1,49,54.4,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,35.3,11,64.7,11,64.7,126,65,51.6,61,48.4,66,52.4,0,0,0,0,0,0,0,4,0,0,4,100,4,100
108,MESA,PLATEAU VALLEY 50,653,359,55,294,45,299,45.8,276,159,57.6,117,42.4,119,43.1,377,200,53.1,177,46.9,180,47.7,13,6,46.2,7,53.8,8,61.5,4,3,75,1,25,1,25,35,13,37.1,22,62.9,23,65.7,137,60,43.8,77,56.2,77,56.2,459,276,60.1,183,39.9,186,40.5,1,0,0,1,100,1,100,4,1,25,3,75,3,75
109,MESA,MESA COUNTY VALLEY 51,23983,18809,78.4,5029,21,5806,24.2,11660,9151,78.5,2435,20.9,2800,24,12323,9658,78.4,2594,21.1,3006,24.4,258,164,63.6,94,36.4,103,39.9,187,142,75.9,45,24.1,48,25.7,172,126,73.3,43,25,49,28.5,5205,4136,79.5,1033,19.8,1250,24,17270,13579,78.6,3590,20.8,4090,23.7,39,27,69.2,12,30.8,20,51.3,852,635,74.5,212,24.9,246,28.9
110,MINERAL,CREEDE SCHOOL DISTRICT,104,64,61.5,40,38.5,40,38.5,48,30,62.5,18,37.5,18,37.5,56,34,60.7,22,39.3,22,39.3,0,0,0,0,0,0,0,1,0,0,1,100,1,100,0,0,0,0,0,0,0,18,9,50,9,50,9,50,81,54,66.7,27,33.3,27,33.3,0,0,0,0,0,0,0,4,1,25,3,75,3,75
111,MOFFAT,MOFFAT COUNTY RE:NO 1,2448,1875,76.6,573,23.4,638,26.1,1163,889,76.4,275,23.6,312,26.8,1285,986,76.7,298,23.2,326,25.4,29,23,79.3,6,20.7,8,27.6,8,6,75,3,37.5,4,50,10,8,80,2,20,2,20,507,384,75.7,122,24.1,141,27.8,1850,1421,76.8,429,23.2,472,25.5,2,2,100,0,0,0,0,42,31,73.8,11,26.2,11,26.2
112,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,3250,2246,69.1,986,30.3,1119,34.4,1574,1084,68.9,481,30.6,538,34.2,1676,1162,69.3,505,30.1,581,34.7,878,566,64.5,310,35.3,365,41.6,15,11,73.3,4,26.7,4,26.7,15,14,93.3,1,6.7,2,13.3,577,416,72.1,157,27.2,175,30.3,1677,1176,70.1,488,29.1,543,32.4,2,1,50,1,50,1,50,86,62,72.1,25,29.1,29,33.7
113,MONTEZUMA,DOLORES RE-4A,780,552,70.8,228,29.2,230,29.5,374,265,70.9,109,29.1,110,29.4,406,287,70.7,119,29.3,120,29.6,27,19,70.4,8,29.6,8,29.6,5,3,60,2,40,2,40,6,4,66.7,2,33.3,2,33.3,63,45,71.4,18,28.6,18,28.6,666,477,71.6,189,28.4,191,28.7,0,0,0,0,0,0,0,13,4,30.8,9,69.2,9,69.2
114,MONTEZUMA,MANCOS RE-6,449,304,67.7,146,32.5,151,33.6,211,132,62.6,79,37.4,83,39.3,238,172,72.3,67,28.2,68,28.6,28,17,60.7,11,39.3,11,39.3,0,0,0,0,0,0,0,3,0,0,3,100,3,100,75,41,54.7,34,45.3,35,46.7,334,241,72.2,94,28.1,98,29.3,1,1,100,0,0,0,0,8,4,50,4,50,4,50
115,MONTROSE,MONTROSE COUNTY RE-1J,6747,5229,77.5,1484,22,1693,25.1,3267,2562,78.4,688,21.1,782,23.9,3480,2667,76.6,796,22.9,911,26.2,49,31,63.3,18,36.7,21,42.9,31,23,74.2,8,25.8,8,25.8,31,22,71,9,29,9,29,2414,1919,79.5,483,20,560,23.2,4042,3105,76.8,916,22.7,1037,25.7,5,2,40,3,60,4,80,175,127,72.6,47,26.9,54,30.9
