,county,school_dist,total_pupil_count,total_stable_student_count,total_stability_rate,total_mobile_student_count,total_student_mobility_rate,total_instances_of_mobility,total_mobility_incidence_rate,total_female_pupil_count,total_female_stable_student_count,total_female_stability_rate,total_female_mobile_student_count,total_female_student_mobility_rate,total_female_instances_of_mobility,total_female_mobility_incidence_rate,total_male_pupil_count,total_male_stable_student_count,total_male_stability_rate,total_male_mobile_student_count,total_male_student_mobility_rate,total_male_instances_of_mobility,total_male_mobility_incidence_rate,total_american_indian_or_alaska_native_pupil_count,total_american_indian_or_alaska_native_stable_student_count,total_american_indian_or_alaska_native_stability_rate,total_american_indian_or_alaska_native_mobile_student_count,total_american_indian_or_alaska_native_student_mobility_rate,total_american_indian_or_alaska_native_instances_of_mobility,total_american_indian_or_alaska_native_mobility_incidence_rate,total_asian_pupil_count,total_asian_stable_student_count,total_asian_stability_rate,total_asian_mobile_student_count,total_asian_student_mobility_rate,total_asian_instances_of_mobility,total_asian_mobility_incidence_rate,total_black_or_african_american_pupil_count,total_black_or_african_american_stable_student_count,total_black_or_african_american_stability_rate,total_black_or_african_american_mobile_student_count,total_black_or_african_american_student_mobility_rate,total_black_or_african_american_instances_of_mobility,total_black_or_african_american_mobility_incidence_rate,total_hispanic_or_latino_pupil_count,total_hispanic_or_latino_stable_student_count,total_hispanic_or_latino_stability_rate,total_hispanic_or_latino_mobile_student_count,total_hispanic_or_latino_student_mobility_rate,total_hispanic_or_latino_instances_of_mobility,total_hispanic_or_latino_mobility_incidence_rate,total_white_pupil_count,total_white_stable_student_count,total_white_stability_rate,total_white_mobile_student_count,total_white_student_mobility_rate,total_white_instances_of_mobility,total_white_mobility_incidence_rate,total_native_hawaiian_or_other_pacific_islander_pupil_count,total_native_hawaiian_or_other_pacific_islander_stable_student_count,total_native_hawaiian_or_other_pacific_islander_stability_rate,total_native_hawaiian_or_other_pacific_islander_mobile_student_count,total_native_hawaiian_or_other_pacific_islander_student_mobility_rate,total_native_hawaiian_or_other_pacific_islander_instances_of_mobility,total_native_hawaiian_or_other_pacific_islander_mobility_incidence_rate,total_two_or_more_races_pupil_count,total_two_or_more_races_stable_student_count,total_two_or_more_races_stability_rate,total_two_or_more_races_mobile_student_count,total_two_or_more_races_student_mobility_rate,total_two_or_more_races_instances_of_mobility,total_two_or_more_races_mobility_incidence_rate
116,MONTROSE,WEST END RE-2,351,254,72.4,97,27.6,103,29.3,185,134,72.4,51,27.6,56,30.3,166,120,72.3,46,27.7,47,28.3,8,6,75,2,25,2,25,1,1,100,0,0,0,0,5,4,80,1,20,1,20,34,12,35.3,22,64.7,22,64.7,302,231,76.5,71,23.5,77,25.5,0,0,0,0,0,0,0,1,0,0,1,100,1,100
117,MORGAN,BRUSH RE-2(J),1603,1244,77.6,359,22.4,396,24.7,806,623,77.3,183,22.7,203,25.2,797,621,77.9,176,22.1,193,24.2,5,3,60,2,40,2,40,4,4,100,0,0,0,0,17,11,64.7,6,35.3,6,35.3,789,623,79,166,21,188,23.8,755,577,76.4,178,23.6,193,25.6,2,1,50,1,50,1,50,31,25,80.6,6,19.4,6,19.4
118,MORGAN,FORT MORGAN RE-3,3403,2629,77.3,770,22.6,843,24.8,1654,1282,77.5,369,22.3,408,24.7,1749,1347,77,401,22.9,435,24.9,21,15,71.4,6,28.6,6,28.6,15,9,60,6,40,6,40,139,67,48.2,72,51.8,75,54,2017,1599,79.3,417,20.7,463,23,1177,914,77.7,260,22.1,283,24,1,1,100,0,0,0,0,33,24,72.7,9,27.3,10,30.3
119,MORGAN,WELDON VALLEY RE-20(J),225,166,73.8,59,26.2,59,26.2,119,88,73.9,31,26.1,31,26.1,106,78,73.6,28,26.4,28,26.4,0,0,0,0,0,0,0,1,0,0,1,100,1,100,0,0,0,0,0,0,0,33,21,63.6,12,36.4,12,36.4,191,145,75.9,46,24.1,46,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,MORGAN,WIGGINS RE-50(J),561,412,73.4,149,26.6,152,27.1,266,201,75.6,65,24.4,66,24.8,295,211,71.5,84,28.5,86,29.2,7,3,42.9,4,57.1,4,57.1,3,3,100,0,0,0,0,3,2,66.7,1,33.3,1,33.3,161,100,62.1,61,37.9,62,38.5,368,292,79.3,76,20.7,78,21.2,0,0,0,0,0,0,0,19,12,63.2,7,36.8,7,36.8
121,OTERO,EAST OTERO R-1,1494,1056,70.7,438,29.3,471,31.5,729,518,71.1,211,28.9,226,31,765,538,70.3,227,29.7,245,32,6,4,66.7,2,33.3,2,33.3,6,5,83.3,1,16.7,1,16.7,6,5,83.3,1,16.7,1,16.7,945,684,72.4,261,27.6,281,29.7,498,340,68.3,158,31.7,171,34.3,1,0,0,1,100,1,100,32,18,56.3,14,43.8,14,43.8
122,OTERO,ROCKY FORD R-2,965,700,72.5,265,27.5,279,28.9,438,310,70.8,128,29.2,133,30.4,527,390,74,137,26,146,27.7,2,2,100,0,0,0,0,7,5,71.4,2,28.6,2,28.6,11,6,54.5,5,45.5,5,45.5,669,500,74.7,169,25.3,181,27.1,274,185,67.5,89,32.5,91,33.2,0,0,0,0,0,0,0,2,2,100,0,0,0,0
123,OTERO,MANZANOLA 3J,201,120,59.7,81,40.3,85,42.3,94,56,59.6,38,40.4,39,41.5,107,64,59.8,43,40.2,46,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,138,79,57.2,59,42.8,62,44.9,62,40,64.5,22,35.5,23,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,OTERO,FOWLER R-4J,463,345,74.5,118,25.5,124,26.8,244,190,77.9,54,22.1,56,23,219,155,70.8,64,29.2,68,31.1,4,0,0,4,100,5,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,68,72.3,26,27.7,28,29.8,358,273,76.3,85,23.7,87,24.3,0,0,0,0,0,0,0,7,4,57.1,3,42.9,4,57.1
125,OTERO,CHERAW 31,224,178,79.5,46,20.5,48,21.4,114,97,85.1,17,14.9,18,15.8,110,81,73.6,29,26.4,30,27.3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,100,3,100,46,33,71.7,13,28.3,14,30.4,172,143,83.1,29,16.9,30,17.4,0,0,0,0,0,0,0,2,1,50,1,50,1,50
126,OTERO,SWINK 33,417,315,75.5,102,24.5,103,24.7,205,150,73.2,55,26.8,56,27.3,212,165,77.8,47,22.2,47,22.2,1,1,100,0,0,0,0,27,21,77.8,6,22.2,6,22.2,6,3,50,3,50,3,50,105,75,71.4,30,28.6,30,28.6,269,208,77.3,61,22.7,62,23,0,0,0,0,0,0,0,9,7,77.8,2,22.2,2,22.2
127,OURAY,OURAY R-1,219,146,66.7,73,33.3,75,34.2,117,76,65,41,35,42,35.9,102,70,68.6,32,31.4,33,32.4,1,1,100,0,0,0,0,4,3,75,1,25,1,25,1,1,100,0,0,0,0,30,17,56.7,13,43.3,14,46.7,182,123,67.6,59,32.4,60,33,1,1,100,0,0,0,0,0,0,0,0,0,0,0
128,OURAY,RIDGWAY R-2,386,273,70.7,113,29.3,117,30.3,191,128,67,63,33,65,34,195,145,74.4,50,25.6,52,26.7,1,1,100,0,0,0,0,4,3,75,1,25,1,25,1,1,100,0,0,0,0,38,16,42.1,22,57.9,24,63.2,324,238,73.5,86,26.5,88,27.2,3,2,66.7,1,33.3,1,33.3,15,12,80,3,20,3,20
129,PARK,PLATTE CANYON 1,1247,857,68.7,390,31.3,404,32.4,588,405,68.9,183,31.1,191,32.5,659,452,68.6,207,31.4,213,32.3,5,5,100,0,0,0,0,15,11,73.3,4,26.7,4,26.7,9,5,55.6,4,44.4,5,55.6,104,72,69.2,32,30.8,33,31.7,1060,736,69.4,324,30.6,334,31.5,0,0,0,0,0,0,0,54,28,51.9,26,48.1,28,51.9
130,PARK,PARK COUNTY RE-2,624,403,64.6,220,35.3,226,36.2,304,188,61.8,116,38.2,119,39.1,320,215,67.2,104,32.5,107,33.4,2,1,50,1,50,1,50,2,0,0,2,100,2,100,9,2,22.2,7,77.8,7,77.8,75,43,57.3,32,42.7,35,46.7,525,347,66.1,177,33.7,180,34.3,0,0,0,0,0,0,0,11,10,90.9,1,9.1,1,9.1
131,PHILLIPS,HOLYOKE RE-1J,641,505,78.8,136,21.2,144,22.5,302,234,77.5,68,22.5,72,23.8,339,271,79.9,68,20.1,72,21.2,0,0,0,0,0,0,0,1,0,0,1,100,1,100,3,1,33.3,2,66.7,2,66.7,260,202,77.7,58,22.3,62,23.8,371,296,79.8,75,20.2,79,21.3,0,0,0,0,0,0,0,6,6,100,0,0,0,0
132,PHILLIPS,HAXTUN RE-2J,319,258,80.9,61,19.1,63,19.7,158,125,79.1,33,20.9,35,22.2,161,133,82.6,28,17.4,28,17.4,1,1,100,0,0,0,0,2,2,100,0,0,0,0,1,0,0,1,100,1,100,27,22,81.5,5,18.5,5,18.5,284,229,80.6,55,19.4,57,20.1,0,0,0,0,0,0,0,4,4,100,0,0,0,0
133,PITKIN,ASPEN 1,1819,1529,84.1,290,15.9,312,17.2,876,742,84.7,134,15.3,147,16.8,943,787,83.5,156,16.5,165,17.5,12,4,33.3,8,66.7,8,66.7,34,27,79.4,7,20.6,7,20.6,13,12,92.3,1,7.7,1,7.7,203,163,80.3,40,19.7,42,20.7,1554,1321,85,233,15,253,16.3,1,0,0,1,100,1,100,2,2,100,0,0,0,0
134,PROWERS,GRANADA RE-1,271,178,65.7,93,34.3,93,34.3,114,74,64.9,40,35.1,40,35.1,157,104,66.2,53,33.8,53,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,124,62.9,73,37.1,73,37.1,74,54,73,20,27,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,PROWERS,LAMAR RE-2,1782,1368,76.8,414,23.2,441,24.7,846,642,75.9,204,24.1,215,25.4,936,726,77.6,210,22.4,226,24.1,14,11,78.6,3,21.4,3,21.4,7,6,85.7,1,14.3,1,14.3,10,8,80,2,20,2,20,927,741,79.9,186,20.1,199,21.5,790,577,73,213,27,227,28.7,0,0,0,0,0,0,0,34,25,73.5,9,26.5,9,26.5
136,PROWERS,HOLLY RE-3,291,240,82.5,51,17.5,55,18.9,126,95,75.4,31,24.6,33,26.2,165,145,87.9,20,12.1,22,13.3,4,4,100,0,0,0,0,1,0,0,1,100,1,100,0,0,0,0,0,0,0,141,119,84.4,22,15.6,23,16.3,143,115,80.4,28,19.6,31,21.7,0,0,0,0,0,0,0,2,2,100,0,0,0,0
137,PROWERS,WILEY RE-13 JT,256,181,70.7,75,29.3,75,29.3,132,100,75.8,32,24.2,32,24.2,124,81,65.3,43,34.7,43,34.7,2,1,50,1,50,1,50,0,0,0,0,0,0,0,3,3,100,0,0,0,0,74,47,63.5,27,36.5,27,36.5,173,130,75.1,43,24.9,43,24.9,0,0,0,0,0,0,0,4,0,0,4,100,4,100
138,PUEBLO,PUEBLO CITY 60,19216,14879,77.4,4288,22.3,4939,25.7,9344,7232,77.4,2087,22.3,2395,25.6,9872,7647,77.5,2201,22.3,2544,25.8,133,89,66.9,41,30.8,47,35.3,122,94,77,28,23,29,23.8,465,313,67.3,151,32.5,170,36.6,12672,10104,79.7,2541,20.1,2990,23.6,5578,4118,73.8,1444,25.9,1610,28.9,30,25,83.3,5,16.7,5,16.7,216,136,63,78,36.1,88,40.7
139,PUEBLO,PUEBLO COUNTY 70,9920,7336,74,2565,25.9,2763,27.9,4826,3562,73.8,1254,26,1339,27.7,5094,3774,74.1,1311,25.7,1424,28,71,59,83.1,12,16.9,13,18.3,71,45,63.4,26,36.6,27,38,136,83,61,53,39,56,41.2,3181,2305,72.5,866,27.2,939,29.5,6291,4734,75.3,1548,24.6,1666,26.5,5,2,40,3,60,3,60,165,108,65.5,57,34.5,59,35.8
140,RIO BLANCO,MEEKER RE1,735,541,73.6,194,26.4,196,26.7,364,258,70.9,106,29.1,108,29.7,371,283,76.3,88,23.7,88,23.7,6,3,50,3,50,3,50,3,2,66.7,1,33.3,1,33.3,3,2,66.7,1,33.3,1,33.3,106,81,76.4,25,23.6,25,23.6,607,446,73.5,161,26.5,163,26.9,5,5,100,0,0,0,0,5,2,40,3,60,3,60
141,RIO BLANCO,RANGELY RE-4,531,394,74.2,137,25.8,146,27.5,262,193,73.7,69,26.3,72,27.5,269,201,74.7,68,25.3,74,27.5,3,3,100,0,0,0,0,1,1,100,0,0,0,0,4,3,75,1,25,1,25,65,43,66.2,22,33.8,23,35.4,454,342,75.3,112,24.7,120,26.4,1,1,100,0,0,0,0,3,1,33.3,2,66.7,2,66.7
142,RIO GRANDE,DEL NORTE C-7,635,441,69.4,193,30.4,203,32,314,219,69.7,95,30.3,100,31.8,321,222,69.2,98,30.5,103,32.1,6,3,50,3,50,3,50,1,0,0,1,100,2,200,5,1,20,4,80,4,80,329,238,72.3,91,27.7,97,29.5,292,198,67.8,93,31.8,96,32.9,0,0,0,0,0,0,0,2,1,50,1,50,1,50
143,RIO GRANDE,MONTE VISTA C-8,1338,954,71.3,381,28.5,402,30,649,454,70,193,29.7,205,31.6,689,500,72.6,188,27.3,197,28.6,17,14,82.4,3,17.6,4,23.5,5,1,20,4,80,4,80,7,4,57.1,3,42.9,3,42.9,927,692,74.6,232,25,250,27,370,234,63.2,136,36.8,138,37.3,1,1,100,0,0,0,0,11,8,72.7,3,27.3,3,27.3
144,RIO GRANDE,SARGENT RE-33J,490,399,81.4,91,18.6,91,18.6,248,201,81,47,19,47,19,242,198,81.8,44,18.2,44,18.2,1,1,100,0,0,0,0,6,3,50,3,50,3,50,1,1,100,0,0,0,0,144,121,84,23,16,23,16,331,267,80.7,64,19.3,64,19.3,2,1,50,1,50,1,50,5,5,100,0,0,0,0
145,ROUTT,HAYDEN RE-1,423,307,72.6,116,27.4,118,27.9,186,134,72,52,28,54,29,237,173,73,64,27,64,27,4,4,100,0,0,0,0,6,5,83.3,1,16.7,1,16.7,4,3,75,1,25,1,25,48,37,77.1,11,22.9,11,22.9,361,258,71.5,103,28.5,105,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,ROUTT,STEAMBOAT SPRINGS RE-2,2485,1995,80.3,491,19.8,520,20.9,1195,973,81.4,222,18.6,234,19.6,1290,1022,79.2,269,20.9,286,22.2,6,5,83.3,1,16.7,1,16.7,39,26,66.7,13,33.3,13,33.3,9,6,66.7,3,33.3,3,33.3,237,175,73.8,62,26.2,65,27.4,2146,1741,81.1,406,18.9,431,20.1,11,10,90.9,1,9.1,1,9.1,37,32,86.5,5,13.5,6,16.2
147,ROUTT,SOUTH ROUTT RE 3,438,311,71,127,29,133,30.4,220,159,72.3,61,27.7,65,29.5,218,152,69.7,66,30.3,68,31.2,1,0,0,1,100,1,100,5,3,60,2,40,2,40,1,0,0,1,100,1,100,38,24,63.2,14,36.8,14,36.8,393,284,72.3,109,27.7,115,29.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,SAGUACHE,MOUNTAIN VALLEY RE 1,134,80,59.7,54,40.3,60,44.8,76,46,60.5,30,39.5,34,44.7,58,34,58.6,24,41.4,26,44.8,2,0,0,2,100,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,75.8,8,24.2,10,30.3,96,55,57.3,41,42.7,45,46.9,0,0,0,0,0,0,0,3,0,0,3,100,3,100
149,SAGUACHE,MOFFAT 2,231,154,66.7,77,33.3,80,34.6,109,75,68.8,34,31.2,35,32.1,122,79,64.8,43,35.2,45,36.9,6,6,100,0,0,0,0,2,1,50,1,50,2,100,3,1,33.3,2,66.7,2,66.7,12,11,91.7,1,8.3,1,8.3,204,132,64.7,72,35.3,74,36.3,2,2,100,0,0,0,0,2,1,50,1,50,1,50
150,SAGUACHE,CENTER 26 JT,662,463,69.9,199,30.1,216,32.6,328,233,71,95,29,103,31.4,334,230,68.9,104,31.1,113,33.8,12,9,75,3,25,3,25,0,0,0,0,0,0,0,1,1,100,0,0,0,0,597,433,72.5,164,27.5,180,30.2,47,19,40.4,28,59.6,29,61.7,0,0,0,0,0,0,0,5,1,20,4,80,4,80
151,SAN JUAN,SILVERTON 1,84,45,53.6,39,46.4,40,47.6,32,15,46.9,17,53.1,18,56.3,52,30,57.7,22,42.3,22,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,44,14,56,15,60,59,34,57.6,25,42.4,25,42.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,SAN MIGUEL,TELLURIDE R-1,788,637,80.8,151,19.2,153,19.4,403,327,81.1,76,18.9,76,18.9,385,310,80.5,75,19.5,77,20,2,1,50,1,50,1,50,12,9,75,3,25,3,25,1,1,100,0,0,0,0,132,94,71.2,38,28.8,38,28.8,635,526,82.8,109,17.2,111,17.5,1,1,100,0,0,0,0,5,5,100,0,0,0,0
153,SAN MIGUEL,NORWOOD R-2J,277,218,78.7,59,21.3,64,23.1,147,109,74.1,38,25.9,41,27.9,130,109,83.8,21,16.2,23,17.7,2,2,100,0,0,0,0,2,0,0,2,100,2,100,2,2,100,0,0,0,0,30,19,63.3,11,36.7,11,36.7,239,194,81.2,45,18.8,50,20.9,0,0,0,0,0,0,0,2,1,50,1,50,1,50
154,SEDGWICK,JULESBURG RE-1,1514,361,23.8,1149,75.9,1168,77.1,923,202,21.9,717,77.7,730,79.1,591,159,26.9,432,73.1,438,74.1,17,5,29.4,12,70.6,12,70.6,12,0,0,12,100,12,100,58,6,10.3,52,89.7,52,89.7,311,83,26.7,228,73.3,229,73.6,1087,262,24.1,821,75.5,838,77.1,20,1,5,19,95,20,100,9,4,44.4,5,55.6,5,55.6
155,SEDGWICK,PLATTE VALLEY RE-3,141,106,75.2,35,24.8,35,24.8,68,44,64.7,24,35.3,24,35.3,73,62,84.9,11,15.1,11,15.1,3,2,66.7,1,33.3,1,33.3,2,0,0,2,100,2,100,2,1,50,1,50,1,50,19,15,78.9,4,21.1,4,21.1,115,88,76.5,27,23.5,27,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,SUMMIT,SUMMIT RE-1,3361,2614,77.8,746,22.2,782,23.3,1618,1269,78.4,349,21.6,368,22.7,1743,1345,77.2,397,22.8,414,23.8,13,8,61.5,5,38.5,5,38.5,39,26,66.7,13,33.3,14,35.9,17,9,52.9,8,47.1,9,52.9,964,789,81.8,174,18,189,19.6,2240,1714,76.5,526,23.5,544,24.3,2,2,100,0,0,0,0,86,66,76.7,20,23.3,21,24.4
157,TELLER,CRIPPLE CREEK-VICTOR RE-1,483,268,55.5,215,44.5,236,48.9,219,123,56.2,96,43.8,107,48.9,264,145,54.9,119,45.1,129,48.9,4,2,50,2,50,2,50,4,3,75,1,25,1,25,8,4,50,4,50,4,50,46,23,50,23,50,24,52.2,411,232,56.4,179,43.6,199,48.4,8,4,50,4,50,4,50,2,0,0,2,100,2,100
158,TELLER,WOODLAND PARK RE-2,3088,2192,71,895,29,934,30.2,1428,1019,71.4,409,28.6,432,30.3,1660,1173,70.7,486,29.3,502,30.2,17,9,52.9,8,47.1,8,47.1,20,13,65,7,35,8,40,10,8,80,2,20,2,20,238,165,69.3,73,30.7,76,31.9,2677,1913,71.5,763,28.5,796,29.7,4,4,100,0,0,0,0,122,80,65.6,42,34.4,44,36.1
159,WASHINGTON,AKRON R-1,386,309,80.1,72,18.7,77,19.9,193,153,79.3,37,19.2,40,20.7,193,156,80.8,35,18.1,37,19.2,0,0,0,0,0,0,0,3,1,33.3,2,66.7,2,66.7,0,0,0,0,0,0,0,51,44,86.3,7,13.7,7,13.7,324,256,79,63,19.4,68,21,0,0,0,0,0,0,0,8,8,100,0,0,0,0
160,WASHINGTON,ARICKAREE R-2,112,86,76.8,26,23.2,26,23.2,49,32,65.3,17,34.7,17,34.7,63,54,85.7,9,14.3,9,14.3,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,27,8,29.6,19,70.4,19,70.4,84,77,91.7,7,8.3,7,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,WASHINGTON,OTIS R-3,203,159,78.3,44,21.7,47,23.2,100,72,72,28,28,31,31,103,87,84.5,16,15.5,16,15.5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,21,12,57.1,9,42.9,9,42.9,176,141,80.1,35,19.9,38,21.6,0,0,0,0,0,0,0,4,4,100,0,0,0,0
162,WASHINGTON,LONE STAR 101,126,94,74.6,32,25.4,32,25.4,64,48,75,16,25,16,25,62,46,74.2,16,25.8,16,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,44.4,5,55.6,5,55.6,117,90,76.9,27,23.1,27,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,WASHINGTON,WOODLIN R-104,116,75,64.7,41,35.3,42,36.2,71,44,62,27,38,28,39.4,45,31,68.9,14,31.1,14,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,12,10,83.3,2,16.7,2,16.7,103,64,62.1,39,37.9,40,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,WELD,WELD COUNTY RE-1,2094,1517,72.4,574,27.4,598,28.6,1005,723,71.9,280,27.9,292,29.1,1089,794,72.9,294,27,306,28.1,22,12,54.5,10,45.5,11,50,8,5,62.5,3,37.5,3,37.5,9,7,77.8,2,22.2,2,22.2,1099,818,74.4,278,25.3,297,27,941,662,70.4,279,29.6,283,30.1,1,1,100,0,0,0,0,14,12,85.7,2,14.3,2,14.3
165,WELD,EATON RE-2,1985,1533,77.2,451,22.7,472,23.8,961,738,76.8,222,23.1,232,24.1,1024,795,77.6,229,22.4,240,23.4,10,8,80,2,20,2,20,11,6,54.5,5,45.5,5,45.5,13,12,92.3,1,7.7,1,7.7,449,314,69.9,134,29.8,148,33,1479,1176,79.5,303,20.5,310,21,0,0,0,0,0,0,0,23,17,73.9,6,26.1,6,26.1
166,WELD,KEENESBURG RE-3(J),2497,1833,73.4,662,26.5,698,28,1202,903,75.1,297,24.7,313,26,1295,930,71.8,365,28.2,385,29.7,12,10,83.3,2,16.7,2,16.7,15,9,60,6,40,7,46.7,14,9,64.3,5,35.7,6,42.9,886,641,72.3,244,27.5,258,29.1,1501,1118,74.5,382,25.4,399,26.6,4,3,75,1,25,1,25,65,43,66.2,22,33.8,25,38.5
167,WELD,WINDSOR RE-4,4957,3878,78.2,1072,21.6,1116,22.5,2386,1871,78.4,511,21.4,535,22.4,2571,2007,78.1,561,21.8,581,22.6,24,19,79.2,5,20.8,5,20.8,56,42,75,14,25,14,25,19,12,63.2,7,36.8,7,36.8,696,516,74.1,179,25.7,188,27,4024,3179,79,839,20.8,872,21.7,5,5,100,0,0,0,0,133,105,78.9,28,21.1,30,22.6
168,WELD,JOHNSTOWN-MILLIKEN RE-5J,3602,2742,76.1,858,23.8,892,24.8,1721,1306,75.9,413,24,429,24.9,1881,1436,76.3,445,23.7,463,24.6,11,8,72.7,3,27.3,3,27.3,29,19,65.5,10,34.5,10,34.5,21,14,66.7,7,33.3,8,38.1,1052,849,80.7,203,19.3,217,20.6,2443,1817,74.4,624,25.5,643,26.3,1,1,100,0,0,0,0,45,34,75.6,11,24.4,11,24.4
169,WELD,GREELEY 6,21971,16903,76.9,4982,22.7,5624,25.6,10769,8328,77.3,2389,22.2,2708,25.1,11202,8575,76.5,2593,23.1,2916,26,80,51,63.8,29,36.3,31,38.8,403,252,62.5,150,37.2,158,39.2,439,266,60.6,170,38.7,184,41.9,12480,9881,79.2,2545,20.4,2960,23.7,8233,6217,75.5,1992,24.2,2184,26.5,43,25,58.1,18,41.9,20,46.5,293,211,72,78,26.6,87,29.7
170,WELD,PLATTE VALLEY RE-7,1212,960,79.2,252,20.8,259,21.4,584,464,79.5,120,20.5,123,21.1,628,496,79,132,21,136,21.7,1,0,0,1,100,1,100,1,1,100,0,0,0,0,3,2,66.7,1,33.3,1,33.3,365,261,71.5,104,28.5,105,28.8,839,695,82.8,144,17.2,150,17.9,0,0,0,0,0,0,0,3,1,33.3,2,66.7,2,66.7
171,WELD,WELD COUNTY S/D RE-8,2609,1976,75.7,631,24.2,677,25.9,1268,963,75.9,303,23.9,327,25.8,1341,1013,75.5,328,24.5,350,26.1,13,8,61.5,5,38.5,5,38.5,17,9,52.9,8,47.1,8,47.1,16,7,43.8,9,56.3,10,62.5,1793,1395,77.8,397,22.1,432,24.1,739,536,72.5,202,27.3,212,28.7,5,4,80,1,20,1,20,26,17,65.4,9,34.6,9,34.6
172,WELD,AULT-HIGHLAND RE-9,950,659,69.4,290,30.5,314,33.1,480,328,68.3,152,31.7,164,34.2,470,331,70.4,138,29.4,150,31.9,4,4,100,0,0,0,0,4,3,75,1,25,1,25,2,1,50,1,50,1,50,337,227,67.4,109,32.3,120,35.6,581,409,70.4,172,29.6,183,31.5,0,0,0,0,0,0,0,22,15,68.2,7,31.8,9,40.9
173,WELD,BRIGGSDALE RE-10,169,130,76.9,39,23.1,39,23.1,97,73,75.3,24,24.7,24,24.7,72,57,79.2,15,20.8,15,20.8,1,0,0,1,100,1,100,9,6,66.7,3,33.3,3,33.3,0,0,0,0,0,0,0,13,9,69.2,4,30.8,4,30.8,145,114,78.6,31,21.4,31,21.4,0,0,0,0,0,0,0,1,1,100,0,0,0,0
174,WELD,PRAIRIE RE-11,185,142,76.8,43,23.2,44,23.8,94,71,75.5,23,24.5,23,24.5,91,71,78,20,22,21,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,100,0,0,0,0,25,11,44,14,56,14,56,153,124,81,29,19,30,19.6,0,0,0,0,0,0,0,2,2,100,0,0,0,0
175,WELD,PAWNEE RE-12,96,70,72.9,26,27.1,27,28.1,45,31,68.9,14,31.1,14,31.1,51,39,76.5,12,23.5,13,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.7,1,33.3,1,33.3,93,68,73.1,25,26.9,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,YUMA,YUMA 1,916,686,74.9,230,25.1,265,28.9,471,349,74.1,122,25.9,146,31,445,337,75.7,108,24.3,119,26.7,2,1,50,1,50,1,50,2,2,100,0,0,0,0,1,0,0,1,100,2,200,456,338,74.1,118,25.9,149,32.7,445,339,76.2,106,23.8,108,24.3,0,0,0,0,0,0,0,10,6,60,4,40,5,50
177,YUMA,WRAY RD-2,762,587,77,175,23,184,24.1,377,294,78,83,22,86,22.8,385,293,76.1,92,23.9,98,25.5,3,2,66.7,1,33.3,1,33.3,1,1,100,0,0,0,0,4,2,50,2,50,2,50,182,138,75.8,44,24.2,49,26.9,557,437,78.5,120,21.5,124,22.3,1,1,100,0,0,0,0,14,6,42.9,8,57.1,8,57.1
178,YUMA,IDALIA RJ-3,159,119,74.8,40,25.2,42,26.4,83,62,74.7,21,25.3,22,26.5,76,57,75,19,25,20,26.3,6,3,50,3,50,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,28,65.1,15,34.9,16,37.2,110,88,80,22,20,23,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,YUMA,LIBERTY J-4,96,66,68.8,30,31.3,31,32.3,43,35,81.4,8,18.6,8,18.6,53,31,58.5,22,41.5,23,43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,70,3,30,3,30,82,58,70.7,24,29.3,25,30.5,0,0,0,0,0,0,0,4,1,25,3,75,3,75
180,DENVER,CHARTER SCHOOL INSTITUTE,12020,5323,44.3,6660,55.4,6800,56.6,6311,2808,44.5,3483,55.2,3570,56.6,5709,2515,44.1,3177,55.6,3230,56.6,120,40,33.3,79,65.8,83,69.2,297,184,62,113,38,114,38.4,697,327,46.9,368,52.8,377,54.1,4881,2057,42.1,2806,57.5,2875,58.9,5811,2610,44.9,3186,54.8,3240,55.8,27,13,48.1,14,51.9,15,55.6,187,92,49.2,94,50.3,96,51.3
181,CHAFFEE,MOUNTAIN BOCES,184,76,41.3,113,61.4,116,63,103,37,35.9,66,64.1,67,65,81,39,48.1,47,58,49,60.5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,2,1,50,1,50,1,50,72,23,31.9,50,69.4,50,69.4,109,51,46.8,62,56.9,65,59.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,WELD,CENTENNIAL BOCES,146,0,0,146,100,146,100,64,0,0,64,100,64,100,82,0,0,82,100,82,100,2,0,0,2,100,2,100,0,0,0,0,0,0,0,1,0,0,1,100,1,100,81,0,0,81,100,81,100,62,0,0,62,100,62,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,LA PLATA,SAN JUAN BOCES,84,0,0,84,100,84,100,36,0,0,36,100,36,100,48,0,0,48,100,48,100,8,0,0,8,100,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,100,15,100,58,0,0,58,100,58,100,0,0,0,0,0,0,0,3,0,0,3,100,3,100
184,DENVER,EXPEDITIONARY BOCES,402,302,75.1,100,24.9,101,25.1,184,141,76.6,43,23.4,44,23.9,218,161,73.9,57,26.1,57,26.1,2,2,100,0,0,0,0,16,11,68.8,5,31.3,5,31.3,18,9,50,9,50,9,50,43,31,72.1,12,27.9,12,27.9,297,233,78.5,64,21.5,65,21.9,0,0,0,0,0,0,0,26,16,61.5,10,38.5,10,38.5
